#compiler;opt;program;seed;length;work;energy(J);time(s)
clang++;-O2;bitset;0;512;g;4.75;0.121022431
clang++;-O2;bitset;1;512;g;5.27;0.116644016
clang++;-O2;bitset;2;512;g;6.11;0.121009948
clang++;-O2;bitset;3;512;g;5.97;0.121560728
clang++;-O2;bitset;4;512;g;6.40;0.124444468
clang++;-O2;bitset;5;512;g;5.90;0.121972167
clang++;-O2;bitset;6;512;g;6.04;0.121854086
clang++;-O2;bitset;7;512;g;5.60;0.117676947
clang++;-O2;bitset;8;512;g;6.16;0.126191765
clang++;-O2;bitset;9;512;g;6.19;0.127588185
clang++;-O2;bitset;0;512;h;1.02;0.021556268
clang++;-O2;bitset;1;512;h;1.01;0.021900040
clang++;-O2;bitset;2;512;h;1.23;0.021891093
clang++;-O2;bitset;3;512;h;1.15;0.022526662
clang++;-O2;bitset;4;512;h;1.13;0.022566727
clang++;-O2;bitset;5;512;h;1.14;0.021993375
clang++;-O2;bitset;6;512;h;1.10;0.021927431
clang++;-O2;bitset;7;512;h;0.98;0.022422537
clang++;-O2;bitset;8;512;h;0.98;0.022031005
clang++;-O2;bitset;9;512;h;0.94;0.021367725
clang++;-O2;bitset;0;512;i;0.80;0.018449309
clang++;-O2;bitset;1;512;i;0.84;0.019134109
clang++;-O2;bitset;2;512;i;0.80;0.017976165
clang++;-O2;bitset;3;512;i;1.11;0.022016348
clang++;-O2;bitset;4;512;i;0.83;0.018191838
clang++;-O2;bitset;5;512;i;0.87;0.018231212
clang++;-O2;bitset;6;512;i;0.79;0.018123671
clang++;-O2;bitset;7;512;i;0.85;0.018130954
clang++;-O2;bitset;8;512;i;0.79;0.018086982
clang++;-O2;bitset;9;512;i;0.82;0.018072946
clang++;-O2;bitset;0;1024;g;5.41;0.125300990
clang++;-O2;bitset;1;1024;g;5.60;0.125961945
clang++;-O2;bitset;2;1024;g;6.33;0.118999760
clang++;-O2;bitset;3;1024;g;5.62;0.122417690
clang++;-O2;bitset;4;1024;g;6.45;0.130982861
clang++;-O2;bitset;5;1024;g;6.01;0.126464635
clang++;-O2;bitset;6;1024;g;6.68;0.131706805
clang++;-O2;bitset;7;1024;g;5.81;0.123382042
clang++;-O2;bitset;8;1024;g;6.19;0.125171176
clang++;-O2;bitset;9;1024;g;6.11;0.131631654
clang++;-O2;bitset;0;1024;h;1.49;0.029967051
clang++;-O2;bitset;1;1024;h;1.76;0.031011984
clang++;-O2;bitset;2;1024;h;1.63;0.031571220
clang++;-O2;bitset;3;1024;h;1.58;0.031366888
clang++;-O2;bitset;4;1024;h;1.70;0.032187852
clang++;-O2;bitset;5;1024;h;1.35;0.030509735
clang++;-O2;bitset;6;1024;h;1.36;0.030566181
clang++;-O2;bitset;7;1024;h;1.34;0.030189397
clang++;-O2;bitset;8;1024;h;1.50;0.031929499
clang++;-O2;bitset;9;1024;h;1.36;0.030989583
clang++;-O2;bitset;0;1024;i;1.05;0.024370659
clang++;-O2;bitset;1;1024;i;1.05;0.023994977
clang++;-O2;bitset;2;1024;i;1.05;0.024776388
clang++;-O2;bitset;3;1024;i;1.11;0.023675880
clang++;-O2;bitset;4;1024;i;1.10;0.023501955
clang++;-O2;bitset;5;1024;i;1.03;0.023489692
clang++;-O2;bitset;6;1024;i;1.04;0.024459525
clang++;-O2;bitset;7;1024;i;1.06;0.024418960
clang++;-O2;bitset;8;1024;i;1.02;0.023704533
clang++;-O2;bitset;9;1024;i;1.05;0.024178369
clang++;-O2;bitset;0;2048;g;5.75;0.134719457
clang++;-O2;bitset;1;2048;g;5.80;0.133693177
clang++;-O2;bitset;2;2048;g;7.24;0.135572612
clang++;-O2;bitset;3;2048;g;5.96;0.136131366
clang++;-O2;bitset;4;2048;g;6.83;0.134130606
clang++;-O2;bitset;5;2048;g;5.87;0.132765403
clang++;-O2;bitset;6;2048;g;6.66;0.128760026
clang++;-O2;bitset;7;2048;g;5.92;0.132102544
clang++;-O2;bitset;8;2048;g;6.05;0.129401926
clang++;-O2;bitset;9;2048;g;7.10;0.134966748
clang++;-O2;bitset;0;2048;h;1.96;0.040232391
clang++;-O2;bitset;1;2048;h;1.80;0.039503869
clang++;-O2;bitset;2;2048;h;1.82;0.041696698
clang++;-O2;bitset;3;2048;h;2.23;0.040682682
clang++;-O2;bitset;4;2048;h;2.08;0.040756932
clang++;-O2;bitset;5;2048;h;1.84;0.040675068
clang++;-O2;bitset;6;2048;h;1.77;0.040241478
clang++;-O2;bitset;7;2048;h;1.78;0.040606390
clang++;-O2;bitset;8;2048;h;1.89;0.040391318
clang++;-O2;bitset;9;2048;h;1.88;0.040290028
clang++;-O2;bitset;0;2048;i;1.34;0.030147618
clang++;-O2;bitset;1;2048;i;1.33;0.030500087
clang++;-O2;bitset;2;2048;i;1.30;0.029408307
clang++;-O2;bitset;3;2048;i;1.32;0.030004551
clang++;-O2;bitset;4;2048;i;1.32;0.029477385
clang++;-O2;bitset;5;2048;i;1.32;0.030161755
clang++;-O2;bitset;6;2048;i;1.37;0.030854800
clang++;-O2;bitset;7;2048;i;1.28;0.029884116
clang++;-O2;bitset;8;2048;i;1.32;0.029916346
clang++;-O2;bitset;9;2048;i;1.47;0.029923098
clang++;-O2;bvector;0;512;g;5.24;0.135532587
clang++;-O2;bvector;1;512;g;5.41;0.126527592
clang++;-O2;bvector;2;512;g;6.42;0.128330242
clang++;-O2;bvector;3;512;g;6.65;0.136175007
clang++;-O2;bvector;4;512;g;6.65;0.129982551
clang++;-O2;bvector;5;512;g;5.93;0.122360262
clang++;-O2;bvector;6;512;g;6.36;0.130042944
clang++;-O2;bvector;7;512;g;5.95;0.126582816
clang++;-O2;bvector;8;512;g;6.72;0.133714909
clang++;-O2;bvector;9;512;g;6.02;0.132138982
clang++;-O2;bvector;0;512;h;1.50;0.032159450
clang++;-O2;bvector;1;512;h;1.69;0.032613658
clang++;-O2;bvector;2;512;h;1.64;0.032107572
clang++;-O2;bvector;3;512;h;1.64;0.032651079
clang++;-O2;bvector;4;512;h;1.66;0.032075964
clang++;-O2;bvector;5;512;h;1.42;0.032287970
clang++;-O2;bvector;6;512;h;1.47;0.033241475
clang++;-O2;bvector;7;512;h;1.44;0.032452000
clang++;-O2;bvector;8;512;h;1.44;0.032542429
clang++;-O2;bvector;9;512;h;1.48;0.032137282
clang++;-O2;bvector;0;512;i;1.52;0.031190521
clang++;-O2;bvector;1;512;i;1.47;0.031852539
clang++;-O2;bvector;2;512;i;1.44;0.031433496
clang++;-O2;bvector;3;512;i;1.45;0.031516902
clang++;-O2;bvector;4;512;i;1.39;0.031486936
clang++;-O2;bvector;5;512;i;1.39;0.031664407
clang++;-O2;bvector;6;512;i;1.43;0.031613673
clang++;-O2;bvector;7;512;i;1.39;0.031353106
clang++;-O2;bvector;8;512;i;1.43;0.031637788
clang++;-O2;bvector;9;512;i;1.38;0.030860735
clang++;-O2;bvector;0;1024;g;6.16;0.137299718
clang++;-O2;bvector;1;1024;g;5.89;0.135042707
clang++;-O2;bvector;2;1024;g;6.88;0.140887537
clang++;-O2;bvector;3;1024;g;6.15;0.132371754
clang++;-O2;bvector;4;1024;g;7.35;0.141026937
clang++;-O2;bvector;5;1024;g;5.84;0.135894801
clang++;-O2;bvector;6;1024;g;6.89;0.135061934
clang++;-O2;bvector;7;1024;g;5.86;0.134615890
clang++;-O2;bvector;8;1024;g;7.25;0.138794914
clang++;-O2;bvector;9;1024;g;5.98;0.140643681
clang++;-O2;bvector;0;1024;h;2.31;0.043104668
clang++;-O2;bvector;1;1024;h;2.13;0.042883555
clang++;-O2;bvector;2;1024;h;2.24;0.042507413
clang++;-O2;bvector;3;1024;h;1.89;0.042166023
clang++;-O2;bvector;4;1024;h;2.02;0.042591399
clang++;-O2;bvector;5;1024;h;1.85;0.042606898
clang++;-O2;bvector;6;1024;h;1.86;0.042313480
clang++;-O2;bvector;7;1024;h;1.91;0.042448462
clang++;-O2;bvector;8;1024;h;1.93;0.042408687
clang++;-O2;bvector;9;1024;h;1.91;0.041643406
clang++;-O2;bvector;0;1024;i;1.72;0.039088729
clang++;-O2;bvector;1;1024;i;1.73;0.039090403
clang++;-O2;bvector;2;1024;i;1.73;0.039052572
clang++;-O2;bvector;3;1024;i;1.73;0.039079713
clang++;-O2;bvector;4;1024;i;1.98;0.039225665
clang++;-O2;bvector;5;1024;i;1.73;0.038394852
clang++;-O2;bvector;6;1024;i;1.76;0.038354016
clang++;-O2;bvector;7;1024;i;1.71;0.039197233
clang++;-O2;bvector;8;1024;i;1.74;0.039104029
clang++;-O2;bvector;9;1024;i;1.72;0.039145576
clang++;-O2;bvector;0;2048;g;6.02;0.137505833
clang++;-O2;bvector;1;2048;g;6.10;0.138093071
clang++;-O2;bvector;2;2048;g;7.17;0.140350362
clang++;-O2;bvector;3;2048;g;5.90;0.133714053
clang++;-O2;bvector;4;2048;g;7.05;0.144515932
clang++;-O2;bvector;5;2048;g;6.65;0.138718371
clang++;-O2;bvector;6;2048;g;7.40;0.144966063
clang++;-O2;bvector;7;2048;g;7.43;0.157190932
clang++;-O2;bvector;8;2048;g;7.59;0.146117757
clang++;-O2;bvector;9;2048;g;6.28;0.146555816
clang++;-O2;bvector;0;2048;h;2.84;0.054211366
clang++;-O2;bvector;1;2048;h;2.75;0.053855701
clang++;-O2;bvector;2;2048;h;2.56;0.053316112
clang++;-O2;bvector;3;2048;h;2.32;0.052862394
clang++;-O2;bvector;4;2048;h;2.43;0.052701864
clang++;-O2;bvector;5;2048;h;2.35;0.052301145
clang++;-O2;bvector;6;2048;h;2.37;0.053589894
clang++;-O2;bvector;7;2048;h;2.33;0.053322594
clang++;-O2;bvector;8;2048;h;2.39;0.053517299
clang++;-O2;bvector;9;2048;h;2.38;0.053559227
clang++;-O2;bvector;0;2048;i;2.09;0.046399279
clang++;-O2;bvector;1;2048;i;2.12;0.047941663
clang++;-O2;bvector;2;2048;i;2.12;0.046547416
clang++;-O2;bvector;3;2048;i;2.12;0.045872073
clang++;-O2;bvector;4;2048;i;2.09;0.046983030
clang++;-O2;bvector;5;2048;i;2.03;0.046095341
clang++;-O2;bvector;6;2048;i;2.04;0.046378290
clang++;-O2;bvector;7;2048;i;2.08;0.046554289
clang++;-O2;bvector;8;2048;i;2.03;0.046445416
clang++;-O2;bvector;9;2048;i;2.07;0.046453421
clang++;-O2;cvector;0;512;g;4.17;0.106341111
clang++;-O2;cvector;1;512;g;4.60;0.102630533
clang++;-O2;cvector;2;512;g;5.43;0.110338555
clang++;-O2;cvector;3;512;g;5.54;0.104548178
clang++;-O2;cvector;4;512;g;5.52;0.111816298
