#compiler;opt;program;seed;length;work;energy(J);time(s)
clang++;-O2;bitset;99;512;g;52.01;1.666304317
clang++;-O2;bitset;00;512;h;60.46;1.923474673
clang++;-O2;bitset;01;512;h;58.98;1.922318111
clang++;-O2;bitset;02;512;h;59.07;1.950861938
clang++;-O2;bitset;03;512;h;59.54;1.943811662
clang++;-O2;bitset;04;512;h;59.69;1.958444848
clang++;-O2;bitset;05;512;h;59.28;1.947059652
clang++;-O2;bitset;06;512;h;59.75;1.940831441
clang++;-O2;bitset;07;512;h;59.81;1.941161298
clang++;-O2;bitset;08;512;h;60.59;1.936482253
clang++;-O2;bitset;09;512;h;59.23;1.943918250
clang++;-O2;bitset;10;512;h;59.16;1.927709838
clang++;-O2;bitset;11;512;h;59.09;1.925142620
clang++;-O2;bitset;12;512;h;59.09;1.940449829
clang++;-O2;bitset;13;512;h;58.95;1.943586310
clang++;-O2;bitset;14;512;h;60.60;1.973491862
clang++;-O2;bitset;15;512;h;59.11;1.921251318
clang++;-O2;bitset;16;512;h;59.37;1.928834230
clang++;-O2;bitset;17;512;h;59.35;1.950273378
clang++;-O2;bitset;18;512;h;58.97;1.939338181
clang++;-O2;bitset;19;512;h;59.11;1.944985064
clang++;-O2;bitset;20;512;h;59.22;1.951201623
clang++;-O2;bitset;21;512;h;58.93;1.943481504
clang++;-O2;bitset;22;512;h;59.26;1.945024918
clang++;-O2;bitset;23;512;h;59.01;1.939029123
clang++;-O2;bitset;24;512;h;58.74;1.917799256
clang++;-O2;bitset;25;512;h;59.51;1.940401027
clang++;-O2;bitset;26;512;h;59.34;1.940915579
clang++;-O2;bitset;27;512;h;59.46;1.949240657
clang++;-O2;bitset;28;512;h;58.87;1.942582013
clang++;-O2;bitset;29;512;h;59.15;1.937297968
clang++;-O2;bitset;30;512;h;59.28;1.928898590
clang++;-O2;bitset;31;512;h;58.99;1.937684491
clang++;-O2;bitset;32;512;h;59.11;1.944423745
clang++;-O2;bitset;33;512;h;59.66;1.933866043
clang++;-O2;bitset;34;512;h;58.96;1.942018671
clang++;-O2;bitset;35;512;h;59.31;1.933739187
clang++;-O2;bitset;36;512;h;59.23;1.943899716
clang++;-O2;bitset;37;512;h;59.41;1.939731245
clang++;-O2;bitset;38;512;h;59.36;1.954383148
clang++;-O2;bitset;39;512;h;59.24;1.928878041
clang++;-O2;bitset;40;512;h;59.50;1.950745861
clang++;-O2;bitset;41;512;h;59.05;1.937463027
clang++;-O2;bitset;42;512;h;59.09;1.930899920
clang++;-O2;bitset;43;512;h;58.93;1.925427552
clang++;-O2;bitset;44;512;h;59.03;1.945126148
clang++;-O2;bitset;45;512;h;59.06;1.924338708
