size,GPU,PKG,s
5, 2.13, 27.88, 0.76253207
5, 1.67, 18.93, 0.73541760
5, 3.53, 20.7, 0.76533234
5, 1.65, 10.3, 0.71971090
5, 0.539999999999999, 9.38, 0.72701000
5, 0.93, 12.52, 0.72382781
5, 2.21, 21.84, 0.73545682
5, 3.95, 25.22, 0.78568892
5, 2.23, 14.28, 0.72681600
5, 2.68, 13.56, 0.72371313
5, 1.15, 9.66, 0.71759324
5, 1.15, 6.23, 0.73357414
5, 0.169999999999998, 7.54, 0.72338325
5, 0.140000000000001, 11.41, 0.73374129
5, 0, 9.17, 0.72259966
5, 0, 7.55, 0.72130032
