compiler;opt;std;program;length;work;energy;time
clang++;-O2;-std=c++17;bvector;512;g;16.72;0.698769803
clang++;-O2;-std=c++17;bvector;512;g;11.12;0.394392278
clang++;-O2;-std=c++17;bvector;512;g;9.97;0.345101102
clang++;-O2;-std=c++17;bvector;512;g;10.37;0.324404268
clang++;-O2;-std=c++17;bvector;512;g;11.14;0.342790252
clang++;-O2;-std=c++17;bvector;512;g;8.94;0.319122751
clang++;-O2;-std=c++17;bvector;512;g;10.81;0.347025355
clang++;-O2;-std=c++17;bvector;512;g;10.35;0.326259192
clang++;-O2;-std=c++17;bvector;512;g;10.65;0.342706165
clang++;-O2;-std=c++17;bvector;512;g;10.21;0.337222448
clang++;-O2;-std=c++17;bvector;512;g;10.63;0.352014443
clang++;-O2;-std=c++17;bvector;512;g;10.43;0.342828224
clang++;-O2;-std=c++17;bvector;512;g;10.10;0.326102597
clang++;-O2;-std=c++17;bvector;512;g;10.37;0.334622165
clang++;-O2;-std=c++17;bvector;512;g;10.84;0.362586034
clang++;-O2;-std=c++17;bvector;512;h;36.64;1.245431853
clang++;-O2;-std=c++17;bvector;512;h;35.63;1.250091212
clang++;-O2;-std=c++17;bvector;512;h;35.82;1.247176609
clang++;-O2;-std=c++17;bvector;512;h;36.37;1.245381639
clang++;-O2;-std=c++17;bvector;512;h;36.22;1.245332957
clang++;-O2;-std=c++17;bvector;512;h;35.61;1.241170732
clang++;-O2;-std=c++17;bvector;512;h;36.02;1.245641336
clang++;-O2;-std=c++17;bvector;512;h;36.14;1.249622512
clang++;-O2;-std=c++17;bvector;512;h;36.12;1.245829920
clang++;-O2;-std=c++17;bvector;512;h;35.70;1.244280020
clang++;-O2;-std=c++17;bvector;512;h;35.67;1.245644913
clang++;-O2;-std=c++17;bvector;512;h;36.20;1.244938697
clang++;-O2;-std=c++17;bvector;512;h;36.08;1.253561568
clang++;-O2;-std=c++17;bvector;512;h;35.98;1.251104174
clang++;-O2;-std=c++17;bvector;512;h;36.00;1.251536025
clang++;-O2;-std=c++17;bvector;512;i;5.24;0.194413188
clang++;-O2;-std=c++17;bvector;512;i;5.24;0.193855742
clang++;-O2;-std=c++17;bvector;512;i;5.15;0.193774830
clang++;-O2;-std=c++17;bvector;512;i;5.23;0.193870970
clang++;-O2;-std=c++17;bvector;512;i;5.30;0.193999732
clang++;-O2;-std=c++17;bvector;512;i;5.22;0.193739944
clang++;-O2;-std=c++17;bvector;512;i;5.26;0.193942735
clang++;-O2;-std=c++17;bvector;512;i;5.20;0.193986097
clang++;-O2;-std=c++17;bvector;512;i;5.20;0.193706682
clang++;-O2;-std=c++17;bvector;512;i;5.38;0.194080845
clang++;-O2;-std=c++17;bvector;512;i;5.22;0.193810045
clang++;-O2;-std=c++17;bvector;512;i;5.21;0.193817600
clang++;-O2;-std=c++17;bvector;512;i;5.20;0.193920353
clang++;-O2;-std=c++17;bvector;512;i;5.25;0.194127171
clang++;-O2;-std=c++17;bvector;512;i;5.35;0.194199998
clang++;-O2;-std=c++17;bvector;1024;g;15.68;0.570486788
clang++;-O2;-std=c++17;bvector;1024;g;16.71;0.568304000
clang++;-O2;-std=c++17;bvector;1024;g;17.24;0.589580972
clang++;-O2;-std=c++17;bvector;1024;g;16.61;0.561364218
clang++;-O2;-std=c++17;bvector;1024;g;16.35;0.557059365
clang++;-O2;-std=c++17;bvector;1024;g;16.52;0.558079190
clang++;-O2;-std=c++17;bvector;1024;g;16.73;0.569400478
clang++;-O2;-std=c++17;bvector;1024;g;17.21;0.589488149
clang++;-O2;-std=c++17;bvector;1024;g;16.42;0.559802706
clang++;-O2;-std=c++17;bvector;1024;g;17.03;0.583257469
clang++;-O2;-std=c++17;bvector;1024;g;16.72;0.567277713
clang++;-O2;-std=c++17;bvector;1024;g;16.77;0.572780826
clang++;-O2;-std=c++17;bvector;1024;g;16.86;0.567464533
clang++;-O2;-std=c++17;bvector;1024;g;16.62;0.563609614
clang++;-O2;-std=c++17;bvector;1024;g;16.82;0.566332869
clang++;-O2;-std=c++17;bvector;1024;h;79.84;2.735229763
clang++;-O2;-std=c++17;bvector;1024;h;79.04;2.727370526
clang++;-O2;-std=c++17;bvector;1024;h;78.98;2.725239815
clang++;-O2;-std=c++17;bvector;1024;h;78.79;2.735180711
clang++;-O2;-std=c++17;bvector;1024;h;79.21;2.721441774
clang++;-O2;-std=c++17;bvector;1024;h;79.03;2.718664291
clang++;-O2;-std=c++17;bvector;1024;h;79.15;2.723345333
clang++;-O2;-std=c++17;bvector;1024;h;79.22;2.726661675
clang++;-O2;-std=c++17;bvector;1024;h;79.34;2.727582735
clang++;-O2;-std=c++17;bvector;1024;h;78.79;2.717714127
clang++;-O2;-std=c++17;bvector;1024;h;78.89;2.733911193
clang++;-O2;-std=c++17;bvector;1024;h;78.80;2.717485069
clang++;-O2;-std=c++17;bvector;1024;h;78.95;2.726127648
clang++;-O2;-std=c++17;bvector;1024;h;78.85;2.722004608
clang++;-O2;-std=c++17;bvector;1024;h;79.16;2.734189213
clang++;-O2;-std=c++17;bvector;1024;i;10.49;0.384163999
clang++;-O2;-std=c++17;bvector;1024;i;10.44;0.384289393
clang++;-O2;-std=c++17;bvector;1024;i;10.27;0.383797815
clang++;-O2;-std=c++17;bvector;1024;i;10.41;0.385393905
clang++;-O2;-std=c++17;bvector;1024;i;10.44;0.385197279
clang++;-O2;-std=c++17;bvector;1024;i;10.20;0.383583334
clang++;-O2;-std=c++17;bvector;1024;i;10.41;0.384814955
clang++;-O2;-std=c++17;bvector;1024;i;10.34;0.384123143
clang++;-O2;-std=c++17;bvector;1024;i;10.38;0.385406670
clang++;-O2;-std=c++17;bvector;1024;i;10.38;0.384886908
clang++;-O2;-std=c++17;bvector;1024;i;10.28;0.383940221
clang++;-O2;-std=c++17;bvector;1024;i;10.39;0.384164379
clang++;-O2;-std=c++17;bvector;1024;i;10.26;0.383800430
clang++;-O2;-std=c++17;bvector;1024;i;10.28;0.384085783
clang++;-O2;-std=c++17;bvector;1024;i;10.30;0.383826248
clang++;-O2;-std=c++17;bvector;2048;g;29.53;1.079465753
clang++;-O2;-std=c++17;bvector;2048;g;29.54;1.029657879
clang++;-O2;-std=c++17;bvector;2048;g;29.54;1.034985458
clang++;-O2;-std=c++17;bvector;2048;g;29.82;1.034959601
clang++;-O2;-std=c++17;bvector;2048;g;30.23;1.056020692
clang++;-O2;-std=c++17;bvector;2048;g;29.78;1.037583188
clang++;-O2;-std=c++17;bvector;2048;g;29.88;1.030087200
clang++;-O2;-std=c++17;bvector;2048;g;29.35;1.025398395
clang++;-O2;-std=c++17;bvector;2048;g;29.43;1.031213463
clang++;-O2;-std=c++17;bvector;2048;g;29.67;1.049140101
clang++;-O2;-std=c++17;bvector;2048;g;29.34;1.020546254
clang++;-O2;-std=c++17;bvector;2048;g;29.74;1.037259194
clang++;-O2;-std=c++17;bvector;2048;g;29.57;1.032309831
clang++;-O2;-std=c++17;bvector;2048;g;29.74;1.047992390
clang++;-O2;-std=c++17;bvector;2048;g;29.69;1.040849707
clang++;-O2;-std=c++17;bvector;2048;h;173.19;5.930964003
clang++;-O2;-std=c++17;bvector;2048;h;171.69;5.922828971
clang++;-O2;-std=c++17;bvector;2048;h;171.58;5.926944795
clang++;-O2;-std=c++17;bvector;2048;h;171.16;5.910636081
clang++;-O2;-std=c++17;bvector;2048;h;171.53;5.940916611
clang++;-O2;-std=c++17;bvector;2048;h;171.70;5.943125678
clang++;-O2;-std=c++17;bvector;2048;h;171.94;5.924779452
clang++;-O2;-std=c++17;bvector;2048;h;172.14;5.907846110
clang++;-O2;-std=c++17;bvector;2048;h;171.71;5.928842846
clang++;-O2;-std=c++17;bvector;2048;h;171.67;5.942729559
clang++;-O2;-std=c++17;bvector;2048;h;172.18;5.935257302
clang++;-O2;-std=c++17;bvector;2048;h;171.33;5.900116595
clang++;-O2;-std=c++17;bvector;2048;h;171.43;5.904789353
clang++;-O2;-std=c++17;bvector;2048;h;171.77;5.915693828
clang++;-O2;-std=c++17;bvector;2048;h;179.57;5.911694605
clang++;-O2;-std=c++17;bvector;2048;i;21.83;0.763309501
clang++;-O2;-std=c++17;bvector;2048;i;23.13;0.764213608
clang++;-O2;-std=c++17;bvector;2048;i;23.94;0.764156622
clang++;-O2;-std=c++17;bvector;2048;i;24.94;0.765310506
clang++;-O2;-std=c++17;bvector;2048;i;25.75;0.768590340
clang++;-O2;-std=c++17;bvector;2048;i;26.55;0.768904176
clang++;-O2;-std=c++17;bvector;2048;i;20.97;0.763670154
clang++;-O2;-std=c++17;bvector;2048;i;20.46;0.763557594
clang++;-O2;-std=c++17;bvector;2048;i;20.55;0.763709378
clang++;-O2;-std=c++17;bvector;2048;i;20.68;0.766997857
clang++;-O2;-std=c++17;bvector;2048;i;20.43;0.764061775
clang++;-O2;-std=c++17;bvector;2048;i;20.74;0.766327324
clang++;-O2;-std=c++17;bvector;2048;i;20.84;0.766717844
clang++;-O2;-std=c++17;bvector;2048;i;20.70;0.766375074
clang++;-O2;-std=c++17;bvector;2048;i;20.72;0.767239398
clang++;-O2;-std=c++17;string;512;g;12.72;0.447671014
clang++;-O2;-std=c++17;string;512;g;14.13;0.462143272
clang++;-O2;-std=c++17;string;512;g;13.18;0.449378622
clang++;-O2;-std=c++17;string;512;g;13.10;0.442346805
clang++;-O2;-std=c++17;string;512;g;13.88;0.438841761
clang++;-O2;-std=c++17;string;512;g;14.59;0.439653777
clang++;-O2;-std=c++17;string;512;g;13.54;0.437383650
clang++;-O2;-std=c++17;string;512;g;13.95;0.447883961
clang++;-O2;-std=c++17;string;512;g;13.94;0.456205056
clang++;-O2;-std=c++17;string;512;g;13.56;0.437084351
clang++;-O2;-std=c++17;string;512;g;13.87;0.451082182
clang++;-O2;-std=c++17;string;512;g;14.71;0.476609108
clang++;-O2;-std=c++17;string;512;g;13.59;0.442617368
clang++;-O2;-std=c++17;string;512;g;13.35;0.434203904
clang++;-O2;-std=c++17;string;512;g;13.57;0.438370822
clang++;-O2;-std=c++17;string;512;h;23.06;0.781834525
clang++;-O2;-std=c++17;string;512;h;21.83;0.781066180
clang++;-O2;-std=c++17;string;512;h;21.88;0.782823291
clang++;-O2;-std=c++17;string;512;h;21.81;0.781669998
clang++;-O2;-std=c++17;string;512;h;21.71;0.779815816
clang++;-O2;-std=c++17;string;512;h;21.96;0.780759037
clang++;-O2;-std=c++17;string;512;h;21.86;0.780788492
clang++;-O2;-std=c++17;string;512;h;21.90;0.781498117
clang++;-O2;-std=c++17;string;512;h;21.77;0.779847736
clang++;-O2;-std=c++17;string;512;h;21.71;0.782077989
clang++;-O2;-std=c++17;string;512;h;21.72;0.779613649
clang++;-O2;-std=c++17;string;512;h;21.72;0.780476339
clang++;-O2;-std=c++17;string;512;h;21.88;0.781928430
clang++;-O2;-std=c++17;string;512;h;21.92;0.781367864
