compiler;opt;std;program;length;work;energy;time
clang++;-O2;-std=c++17;bvector;512;g;11.92;0.312505009
clang++;-O2;-std=c++17;bvector;512;g;12.52;0.300534196
clang++;-O2;-std=c++17;bvector;512;g;12.62;0.299811595
clang++;-O2;-std=c++17;bvector;512;g;12.45;0.298974681
clang++;-O2;-std=c++17;bvector;512;g;12.82;0.296561271
clang++;-O2;-std=c++17;bvector;512;g;12.75;0.302098871
clang++;-O2;-std=c++17;bvector;512;g;12.73;0.301372493
clang++;-O2;-std=c++17;bvector;512;g;13.00;0.302782749
clang++;-O2;-std=c++17;bvector;512;g;12.55;0.299389547
clang++;-O2;-std=c++17;bvector;512;g;12.94;0.296674703
clang++;-O2;-std=c++17;bvector;512;g;12.69;0.296854840
clang++;-O2;-std=c++17;bvector;512;g;12.75;0.302193086
clang++;-O2;-std=c++17;bvector;512;g;12.66;0.299917013
clang++;-O2;-std=c++17;bvector;512;g;12.54;0.303752371
clang++;-O2;-std=c++17;bvector;512;g;12.62;0.299226152
clang++;-O2;-std=c++17;bvector;512;h;39.98;1.094891241
clang++;-O2;-std=c++17;bvector;512;h;36.44;1.088691795
clang++;-O2;-std=c++17;bvector;512;h;41.09;1.086674505
clang++;-O2;-std=c++17;bvector;512;h;37.35;1.092672765
clang++;-O2;-std=c++17;bvector;512;h;36.71;1.090778885
clang++;-O2;-std=c++17;bvector;512;h;36.75;1.091736315
clang++;-O2;-std=c++17;bvector;512;h;36.88;1.091137802
clang++;-O2;-std=c++17;bvector;512;h;36.89;1.089971485
clang++;-O2;-std=c++17;bvector;512;h;37.01;1.091169526
clang++;-O2;-std=c++17;bvector;512;h;36.59;1.089487469
clang++;-O2;-std=c++17;bvector;512;h;36.90;1.090548354
clang++;-O2;-std=c++17;bvector;512;h;36.87;1.091790307
clang++;-O2;-std=c++17;bvector;512;h;36.72;1.089842814
clang++;-O2;-std=c++17;bvector;512;h;37.67;1.077387304
clang++;-O2;-std=c++17;bvector;512;h;37.03;1.088500684
clang++;-O2;-std=c++17;bvector;512;i;6.19;0.184066606
clang++;-O2;-std=c++17;bvector;512;i;6.55;0.185413014
clang++;-O2;-std=c++17;bvector;512;i;6.36;0.184843749
clang++;-O2;-std=c++17;bvector;512;i;6.29;0.184412132
clang++;-O2;-std=c++17;bvector;512;i;6.26;0.183217688
clang++;-O2;-std=c++17;bvector;512;i;6.49;0.187523012
clang++;-O2;-std=c++17;bvector;512;i;6.40;0.186532539
clang++;-O2;-std=c++17;bvector;512;i;6.24;0.186309522
clang++;-O2;-std=c++17;bvector;512;i;5.99;0.186013618
clang++;-O2;-std=c++17;bvector;512;i;6.08;0.185867284
clang++;-O2;-std=c++17;bvector;512;i;6.19;0.186320612
clang++;-O2;-std=c++17;bvector;512;i;5.96;0.185935432
clang++;-O2;-std=c++17;bvector;512;i;6.28;0.185831097
clang++;-O2;-std=c++17;bvector;512;i;6.17;0.185686296
clang++;-O2;-std=c++17;bvector;512;i;6.28;0.186016694
clang++;-O2;-std=c++17;bvector;1024;g;16.95;0.505631154
clang++;-O2;-std=c++17;bvector;1024;g;20.00;0.516869576
