compiler;opt;std;program;length;work;energy;time
clang++;-O2;-std=c++17;bitset;512;g;9.93;0.346508291
clang++;-O2;-std=c++17;bitset;512;g;10.93;0.348711307
clang++;-O2;-std=c++17;bitset;512;g;10.42;0.331549324
clang++;-O2;-std=c++17;bitset;512;g;10.37;0.351456608
clang++;-O2;-std=c++17;bitset;512;g;11.08;0.337900693
clang++;-O2;-std=c++17;bitset;512;g;11.13;0.331885921
clang++;-O2;-std=c++17;bitset;512;g;10.66;0.338187499
clang++;-O2;-std=c++17;bitset;512;g;10.77;0.341760316
clang++;-O2;-std=c++17;bitset;512;g;9.91;0.340522012
clang++;-O2;-std=c++17;bitset;512;g;10.68;0.334563877
clang++;-O2;-std=c++17;bitset;512;g;11.30;0.343473648
clang++;-O2;-std=c++17;bitset;512;g;10.44;0.332056491
clang++;-O2;-std=c++17;bitset;512;g;10.87;0.350083993
clang++;-O2;-std=c++17;bitset;512;g;11.45;0.363011914
clang++;-O2;-std=c++17;bitset;512;g;10.15;0.346187811
clang++;-O2;-std=c++17;bitset;512;h;26.56;0.846745930
clang++;-O2;-std=c++17;bitset;512;h;24.28;0.840633255
clang++;-O2;-std=c++17;bitset;512;h;24.48;0.845869011
clang++;-O2;-std=c++17;bitset;512;h;24.39;0.847725080
clang++;-O2;-std=c++17;bitset;512;h;24.31;0.844712259
clang++;-O2;-std=c++17;bitset;512;h;24.38;0.842128400
clang++;-O2;-std=c++17;bitset;512;h;24.55;0.846914545
clang++;-O2;-std=c++17;bitset;512;h;24.22;0.847474181
clang++;-O2;-std=c++17;bitset;512;h;24.62;0.845536459
clang++;-O2;-std=c++17;bitset;512;h;24.29;0.841718233
clang++;-O2;-std=c++17;bitset;512;h;24.38;0.845753165
clang++;-O2;-std=c++17;bitset;512;h;24.48;0.843299730
clang++;-O2;-std=c++17;bitset;512;h;24.09;0.840700963
clang++;-O2;-std=c++17;bitset;512;h;24.32;0.842994489
clang++;-O2;-std=c++17;bitset;512;h;24.34;0.840071456
clang++;-O2;-std=c++17;bitset;512;i;5.33;0.191048347
clang++;-O2;-std=c++17;bitset;512;i;5.32;0.190883739
clang++;-O2;-std=c++17;bitset;512;i;5.36;0.192168250
clang++;-O2;-std=c++17;bitset;512;i;5.28;0.191883868
clang++;-O2;-std=c++17;bitset;512;i;5.29;0.191967794
clang++;-O2;-std=c++17;bitset;512;i;5.34;0.192100763
clang++;-O2;-std=c++17;bitset;512;i;5.32;0.192042154
clang++;-O2;-std=c++17;bitset;512;i;5.33;0.192008912
clang++;-O2;-std=c++17;bitset;512;i;5.33;0.191778131
clang++;-O2;-std=c++17;bitset;512;i;5.30;0.191809669
clang++;-O2;-std=c++17;bitset;512;i;5.45;0.191708180
clang++;-O2;-std=c++17;bitset;512;i;5.30;0.191062182
clang++;-O2;-std=c++17;bitset;512;i;5.34;0.192029080
clang++;-O2;-std=c++17;bitset;512;i;5.29;0.192025192
clang++;-O2;-std=c++17;bitset;512;i;5.34;0.191596360
clang++;-O2;-std=c++17;bitset;1024;g;16.20;0.569624700
clang++;-O2;-std=c++17;bitset;1024;g;18.00;0.592714723
clang++;-O2;-std=c++17;bitset;1024;g;17.44;0.573250235
clang++;-O2;-std=c++17;bitset;1024;g;17.33;0.571184855
clang++;-O2;-std=c++17;bitset;1024;g;17.28;0.569449122
clang++;-O2;-std=c++17;bitset;1024;g;17.24;0.559767446
clang++;-O2;-std=c++17;bitset;1024;g;17.31;0.569267372
clang++;-O2;-std=c++17;bitset;1024;g;17.50;0.577656310
clang++;-O2;-std=c++17;bitset;1024;g;17.30;0.564648780
clang++;-O2;-std=c++17;bitset;1024;g;17.72;0.584966713
clang++;-O2;-std=c++17;bitset;1024;g;17.29;0.567381847
clang++;-O2;-std=c++17;bitset;1024;g;17.35;0.561642931
clang++;-O2;-std=c++17;bitset;1024;g;17.27;0.567614312
clang++;-O2;-std=c++17;bitset;1024;g;17.21;0.562802810
clang++;-O2;-std=c++17;bitset;1024;g;17.41;0.567592531
clang++;-O2;-std=c++17;bitset;1024;h;55.36;1.857614183
clang++;-O2;-std=c++17;bitset;1024;h;54.34;1.858427644
clang++;-O2;-std=c++17;bitset;1024;h;54.24;1.855857781
clang++;-O2;-std=c++17;bitset;1024;h;54.57;1.860618639
clang++;-O2;-std=c++17;bitset;1024;h;54.46;1.864054400
clang++;-O2;-std=c++17;bitset;1024;h;54.36;1.861032992
clang++;-O2;-std=c++17;bitset;1024;h;53.86;1.860732431
clang++;-O2;-std=c++17;bitset;1024;h;54.18;1.855190383
clang++;-O2;-std=c++17;bitset;1024;h;54.00;1.865164775
clang++;-O2;-std=c++17;bitset;1024;h;54.46;1.868302600
clang++;-O2;-std=c++17;bitset;1024;h;53.77;1.851776183
clang++;-O2;-std=c++17;bitset;1024;h;54.38;1.858887874
clang++;-O2;-std=c++17;bitset;1024;h;54.46;1.868445836
clang++;-O2;-std=c++17;bitset;1024;h;54.08;1.860581479
clang++;-O2;-std=c++17;bitset;1024;h;54.15;1.861310652
clang++;-O2;-std=c++17;bitset;1024;i;10.61;0.380838270
clang++;-O2;-std=c++17;bitset;1024;i;10.49;0.379974055
clang++;-O2;-std=c++17;bitset;1024;i;10.55;0.379724960
clang++;-O2;-std=c++17;bitset;1024;i;10.56;0.380805469
clang++;-O2;-std=c++17;bitset;1024;i;10.78;0.381186932
clang++;-O2;-std=c++17;bitset;1024;i;10.47;0.380235153
clang++;-O2;-std=c++17;bitset;1024;i;10.61;0.380931695
clang++;-O2;-std=c++17;bitset;1024;i;10.46;0.379637917
clang++;-O2;-std=c++17;bitset;1024;i;10.57;0.380765564
clang++;-O2;-std=c++17;bitset;1024;i;10.51;0.379784462
clang++;-O2;-std=c++17;bitset;1024;i;10.43;0.381189187
clang++;-O2;-std=c++17;bitset;1024;i;10.48;0.380662122
clang++;-O2;-std=c++17;bitset;1024;i;10.59;0.379704411
clang++;-O2;-std=c++17;bitset;1024;i;10.55;0.380892602
clang++;-O2;-std=c++17;bitset;1024;i;10.55;0.380132842
clang++;-O2;-std=c++17;bitset;2048;g;29.13;1.033743495
clang++;-O2;-std=c++17;bitset;2048;g;30.40;1.036076196
clang++;-O2;-std=c++17;bitset;2048;g;30.67;1.042516851
clang++;-O2;-std=c++17;bitset;2048;g;31.06;1.034783769
clang++;-O2;-std=c++17;bitset;2048;g;30.57;1.034168530
clang++;-O2;-std=c++17;bitset;2048;g;30.58;1.044265040
clang++;-O2;-std=c++17;bitset;2048;g;30.28;1.032904718
clang++;-O2;-std=c++17;bitset;2048;g;30.77;1.047893220
clang++;-O2;-std=c++17;bitset;2048;g;30.29;1.031592165
clang++;-O2;-std=c++17;bitset;2048;g;30.90;1.034127353
clang++;-O2;-std=c++17;bitset;2048;g;30.72;1.046322935
clang++;-O2;-std=c++17;bitset;2048;g;30.66;1.044901940
clang++;-O2;-std=c++17;bitset;2048;g;30.69;1.045343365
clang++;-O2;-std=c++17;bitset;2048;g;30.23;1.023467491
clang++;-O2;-std=c++17;bitset;2048;g;30.71;1.044513745
clang++;-O2;-std=c++17;bitset;2048;h;115.04;3.953459584
clang++;-O2;-std=c++17;bitset;2048;h;112.90;3.928824452
clang++;-O2;-std=c++17;bitset;2048;h;113.69;3.953302740
clang++;-O2;-std=c++17;bitset;2048;h;113.90;3.934847780
clang++;-O2;-std=c++17;bitset;2048;h;112.70;3.930219550
clang++;-O2;-std=c++17;bitset;2048;h;113.13;3.928997326
clang++;-O2;-std=c++17;bitset;2048;h;113.63;3.959463134
clang++;-O2;-std=c++17;bitset;2048;h;113.85;3.944665298
clang++;-O2;-std=c++17;bitset;2048;h;112.62;3.929355444
clang++;-O2;-std=c++17;bitset;2048;h;113.03;3.927948616
clang++;-O2;-std=c++17;bitset;2048;h;113.30;3.944967773
clang++;-O2;-std=c++17;bitset;2048;h;112.84;3.929362728
clang++;-O2;-std=c++17;bitset;2048;h;112.88;3.928599271
clang++;-O2;-std=c++17;bitset;2048;h;112.77;3.928915072
clang++;-O2;-std=c++17;bitset;2048;h;113.75;3.957604801
clang++;-O2;-std=c++17;bitset;2048;i;21.09;0.758024596
clang++;-O2;-std=c++17;bitset;2048;i;20.95;0.757967099
clang++;-O2;-std=c++17;bitset;2048;i;20.93;0.757799615
clang++;-O2;-std=c++17;bitset;2048;i;21.06;0.757716380
clang++;-O2;-std=c++17;bitset;2048;i;20.93;0.757872402
clang++;-O2;-std=c++17;bitset;2048;i;21.11;0.757869797
clang++;-O2;-std=c++17;bitset;2048;i;21.18;0.758454720
clang++;-O2;-std=c++17;bitset;2048;i;21.01;0.758118270
clang++;-O2;-std=c++17;bitset;2048;i;20.92;0.757875077
clang++;-O2;-std=c++17;bitset;2048;i;21.28;0.757695040
clang++;-O2;-std=c++17;bitset;2048;i;21.09;0.757633686
clang++;-O2;-std=c++17;bitset;2048;i;21.05;0.756191068
clang++;-O2;-std=c++17;bitset;2048;i;20.95;0.757437308
clang++;-O2;-std=c++17;bitset;2048;i;20.88;0.757580055
clang++;-O2;-std=c++17;bitset;2048;i;20.92;0.757827879
clang++;-O2;-std=c++17;bvector;512;g;9.57;0.335716741
clang++;-O2;-std=c++17;bvector;512;g;10.66;0.338980532
clang++;-O2;-std=c++17;bvector;512;g;10.20;0.327775881
clang++;-O2;-std=c++17;bvector;512;g;11.41;0.365269093
clang++;-O2;-std=c++17;bvector;512;g;11.71;0.368109792
clang++;-O2;-std=c++17;bvector;512;g;11.63;0.360807514
clang++;-O2;-std=c++17;bvector;512;g;10.94;0.338812277
clang++;-O2;-std=c++17;bvector;512;g;10.82;0.349787709
clang++;-O2;-std=c++17;bvector;512;g;11.64;0.365845361
clang++;-O2;-std=c++17;bvector;512;g;10.68;0.338532965
clang++;-O2;-std=c++17;bvector;512;g;11.15;0.370318059
clang++;-O2;-std=c++17;bvector;512;g;11.12;0.341105162
clang++;-O2;-std=c++17;bvector;512;g;9.94;0.319338161
clang++;-O2;-std=c++17;bvector;512;g;11.54;0.350288275
clang++;-O2;-std=c++17;bvector;512;g;11.13;0.377202546
clang++;-O2;-std=c++17;bvector;512;h;39.19;1.249447271
clang++;-O2;-std=c++17;bvector;512;h;37.36;1.252892029
clang++;-O2;-std=c++17;bvector;512;h;37.14;1.248878298
clang++;-O2;-std=c++17;bvector;512;h;37.16;1.248745890
clang++;-O2;-std=c++17;bvector;512;h;37.87;1.253268883
clang++;-O2;-std=c++17;bvector;512;h;37.30;1.251982349
clang++;-O2;-std=c++17;bvector;512;h;37.92;1.251856904
clang++;-O2;-std=c++17;bvector;512;h;38.15;1.253125486
clang++;-O2;-std=c++17;bvector;512;h;37.31;1.250310284
clang++;-O2;-std=c++17;bvector;512;h;37.31;1.248660951
clang++;-O2;-std=c++17;bvector;512;h;37.29;1.249660519
clang++;-O2;-std=c++17;bvector;512;h;37.51;1.249454003
clang++;-O2;-std=c++17;bvector;512;h;37.17;1.248922079
clang++;-O2;-std=c++17;bvector;512;h;37.78;1.247412017
clang++;-O2;-std=c++17;bvector;512;h;37.48;1.249061720
clang++;-O2;-std=c++17;bvector;512;i;5.78;0.195138831
clang++;-O2;-std=c++17;bvector;512;i;5.53;0.194805698
clang++;-O2;-std=c++17;bvector;512;i;5.53;0.194837327
clang++;-O2;-std=c++17;bvector;512;i;5.44;0.194986065
clang++;-O2;-std=c++17;bvector;512;i;5.52;0.195043442
clang++;-O2;-std=c++17;bvector;512;i;5.52;0.195110718
clang++;-O2;-std=c++17;bvector;512;i;5.56;0.195126288
clang++;-O2;-std=c++17;bvector;512;i;5.39;0.194949417
clang++;-O2;-std=c++17;bvector;512;i;5.48;0.195008448
clang++;-O2;-std=c++17;bvector;512;i;5.40;0.195005993
clang++;-O2;-std=c++17;bvector;512;i;5.52;0.195077287
clang++;-O2;-std=c++17;bvector;512;i;5.53;0.195012095
clang++;-O2;-std=c++17;bvector;512;i;5.42;0.194671798
clang++;-O2;-std=c++17;bvector;512;i;5.61;0.194880839
clang++;-O2;-std=c++17;bvector;512;i;5.48;0.195009420
clang++;-O2;-std=c++17;bvector;1024;g;16.19;0.567768179
clang++;-O2;-std=c++17;bvector;1024;g;17.41;0.571172933
clang++;-O2;-std=c++17;bvector;1024;g;17.69;0.572820873
clang++;-O2;-std=c++17;bvector;1024;g;17.65;0.571931110
clang++;-O2;-std=c++17;bvector;1024;g;17.24;0.555616679
clang++;-O2;-std=c++17;bvector;1024;g;17.79;0.574359268
clang++;-O2;-std=c++17;bvector;1024;g;17.89;0.579100870
clang++;-O2;-std=c++17;bvector;1024;g;17.45;0.564066521
clang++;-O2;-std=c++17;bvector;1024;g;17.45;0.569809875
clang++;-O2;-std=c++17;bvector;1024;g;17.45;0.565569000
clang++;-O2;-std=c++17;bvector;1024;g;17.15;0.556219816
clang++;-O2;-std=c++17;bvector;1024;g;17.53;0.567565130
clang++;-O2;-std=c++17;bvector;1024;g;17.14;0.548471505
clang++;-O2;-std=c++17;bvector;1024;g;17.78;0.572222945
clang++;-O2;-std=c++17;bvector;1024;g;17.75;0.576332035
clang++;-O2;-std=c++17;bvector;1024;h;82.99;2.733997673
clang++;-O2;-std=c++17;bvector;1024;h;82.45;2.747915134
clang++;-O2;-std=c++17;bvector;1024;h;82.65;2.733586555
clang++;-O2;-std=c++17;bvector;1024;h;82.98;2.740295403
clang++;-O2;-std=c++17;bvector;1024;h;82.95;2.741938885
clang++;-O2;-std=c++17;bvector;1024;h;81.70;2.732773496
clang++;-O2;-std=c++17;bvector;1024;h;82.62;2.739204094
clang++;-O2;-std=c++17;bvector;1024;h;82.79;2.743803440
clang++;-O2;-std=c++17;bvector;1024;h;82.89;2.745555845
clang++;-O2;-std=c++17;bvector;1024;h;82.84;2.741817438
clang++;-O2;-std=c++17;bvector;1024;h;82.70;2.741045966
clang++;-O2;-std=c++17;bvector;1024;h;81.20;2.730327364
clang++;-O2;-std=c++17;bvector;1024;h;82.76;2.738826859
clang++;-O2;-std=c++17;bvector;1024;h;81.11;2.730795639
clang++;-O2;-std=c++17;bvector;1024;h;82.76;2.742054731
clang++;-O2;-std=c++17;bvector;1024;i;10.94;0.386108480
clang++;-O2;-std=c++17;bvector;1024;i;10.77;0.386521161
clang++;-O2;-std=c++17;bvector;1024;i;10.86;0.386564202
clang++;-O2;-std=c++17;bvector;1024;i;10.69;0.386229606
clang++;-O2;-std=c++17;bvector;1024;i;10.93;0.386580463
clang++;-O2;-std=c++17;bvector;1024;i;10.66;0.386307202
clang++;-O2;-std=c++17;bvector;1024;i;10.88;0.386541279
clang++;-O2;-std=c++17;bvector;1024;i;10.69;0.386306921
clang++;-O2;-std=c++17;bvector;1024;i;10.73;0.385791988
clang++;-O2;-std=c++17;bvector;1024;i;10.76;0.386028250
clang++;-O2;-std=c++17;bvector;1024;i;10.89;0.386391229
clang++;-O2;-std=c++17;bvector;1024;i;10.80;0.386080678
clang++;-O2;-std=c++17;bvector;1024;i;10.79;0.385866648
clang++;-O2;-std=c++17;bvector;1024;i;10.78;0.385629185
clang++;-O2;-std=c++17;bvector;1024;i;10.90;0.386296171
clang++;-O2;-std=c++17;bvector;2048;g;29.65;1.043058745
clang++;-O2;-std=c++17;bvector;2048;g;31.16;1.051129890
clang++;-O2;-std=c++17;bvector;2048;g;30.72;1.036317977
clang++;-O2;-std=c++17;bvector;2048;g;30.72;1.026721932
clang++;-O2;-std=c++17;bvector;2048;g;31.19;1.048985893
clang++;-O2;-std=c++17;bvector;2048;g;30.72;1.034621967
clang++;-O2;-std=c++17;bvector;2048;g;31.14;1.044690194
clang++;-O2;-std=c++17;bvector;2048;g;30.82;1.040758185
clang++;-O2;-std=c++17;bvector;2048;g;30.89;1.039261128
