engine;pkg;cpu;sleep
minstd_rand0;3.69;0.112241557;2.72
minstd_rand0;3.56;0.112297030;2.64
minstd_rand0;3.65;0.112436140;2.59
minstd_rand0;3.69;0.115081339;2.67
minstd_rand0;3.82;0.113740199;2.66
minstd_rand0;3.62;0.114387305;2.72
minstd_rand0;3.72;0.114048644;2.62
minstd_rand0;3.81;0.115800378;2.71
minstd_rand0;3.72;0.114525463;2.64
minstd_rand0;3.74;0.114417391;2.65
minstd_rand0;3.64;0.114584553;2.61
minstd_rand0;3.58;0.115232601;2.65
minstd_rand0;3.73;0.115183228;2.70
minstd_rand0;3.86;0.114957688;2.70
minstd_rand0;3.79;0.115680224;2.76
minstd_rand0;3.56;0.113991643;2.62
minstd_rand0;3.65;0.114640187;2.76
minstd_rand0;3.74;0.112168432;2.63
minstd_rand0;3.68;0.114497770;2.78
minstd_rand0;3.60;0.113981885;2.68
minstd_rand0;3.53;0.114066844;2.81
minstd_rand0;3.69;0.113673258;2.64
minstd_rand0;3.76;0.114598409;2.84
minstd_rand0;3.88;0.114542845;2.69
minstd_rand0;3.82;0.116368370;2.82
minstd_rand0;3.76;0.114813641;2.73
minstd_rand0;3.81;0.115637472;2.73
minstd_rand0;3.65;0.114036757;2.63
minstd_rand0;3.72;0.113052517;2.66
minstd_rand0;3.86;0.115520253;2.72
minstd_rand0;3.85;0.115744763;2.79
minstd_rand0;3.94;0.116042170;2.77
minstd_rand0;3.86;0.113742317;2.69
minstd_rand0;3.60;0.113150600;2.59
minstd_rand0;3.61;0.115008275;2.64
minstd_rand0;3.53;0.113787191;2.71
minstd_rand0;3.77;0.112966846;2.63
minstd_rand0;3.66;0.114217666;2.65
minstd_rand0;3.63;0.114348270;2.73
minstd_rand0;3.83;0.112286803;2.62
minstd_rand0;3.71;0.112904800;2.64
minstd_rand0;3.66;0.112004776;2.61
minstd_rand0;3.85;0.116262942;2.68
minstd_rand0;3.87;0.115241982;2.71
minstd_rand0;3.96;0.116382666;2.73
minstd_rand0;3.94;0.115176349;2.73
minstd_rand0;3.54;0.113783474;2.64
minstd_rand0;3.67;0.115448319;2.73
minstd_rand0;3.69;0.114536532;2.70
minstd_rand0;3.87;0.115917406;2.72
minstd_rand0;3.59;0.114211675;2.58
minstd_rand0;3.66;0.114102070;2.64
minstd_rand0;3.57;0.113890795;2.63
minstd_rand0;3.62;0.114328142;2.58
minstd_rand0;3.78;0.113527335;2.66
minstd_rand0;3.92;0.115186348;2.82
minstd_rand0;3.83;0.115134161;2.70
minstd_rand0;3.86;0.114314698;2.86
minstd_rand0;3.83;0.115078717;2.69
minstd_rand0;3.91;0.115992526;2.76
minstd_rand0;3.57;0.114434731;2.62
minstd_rand0;3.63;0.114848577;2.79
minstd_rand0;3.62;0.114868073;2.66
minstd_rand0;3.50;0.112479554;2.69
minstd_rand0;3.87;0.114731066;2.74
minstd_rand;3.79;0.112829428;2.75
minstd_rand;3.72;0.115544679;2.75
minstd_rand;3.84;0.114600763;2.72
minstd_rand;3.89;0.113550849;2.76
minstd_rand;3.71;0.114733721;2.71
minstd_rand;3.79;0.114768336;2.76
minstd_rand;3.89;0.116390451;2.78
minstd_rand;3.82;0.113568452;2.69
minstd_rand;3.69;0.113719944;2.77
minstd_rand;4.02;0.114803722;2.81
minstd_rand;3.88;0.114600662;2.66
minstd_rand;3.74;0.112810743;2.74
minstd_rand;3.83;0.116624128;2.75
minstd_rand;3.68;0.113881567;2.64
minstd_rand;3.71;0.114002674;2.70
minstd_rand;4.13;0.114398253;2.68
minstd_rand;3.58;0.112725604;2.64
minstd_rand;4.01;0.114516125;2.66
minstd_rand;3.76;0.113021047;2.69
minstd_rand;3.93;0.114781611;2.77
minstd_rand;3.89;0.115959566;2.80
minstd_rand;3.66;0.115084296;2.73
minstd_rand;3.78;0.113673899;2.66
minstd_rand;3.75;0.111917232;2.64
minstd_rand;3.83;0.115943475;2.71
minstd_rand;3.79;0.112703673;2.70
minstd_rand;3.61;0.113529629;2.61
minstd_rand;3.74;0.115472079;2.79
minstd_rand;3.67;0.114278291;2.63
minstd_rand;3.64;0.114932828;2.60
minstd_rand;3.66;0.115535970;2.68
minstd_rand;3.76;0.116415429;2.78
minstd_rand;3.81;0.112930432;2.60
minstd_rand;3.62;0.114063948;2.70
minstd_rand;3.68;0.114941794;2.70
minstd_rand;3.83;0.113606089;2.81
minstd_rand;3.85;0.115363386;2.73
minstd_rand;3.88;0.116191179;2.79
