engine,pkg,cpu
xoroshiro128+,0.13,0.003535580
xoroshiro128+,0.13,0.003565569
xoroshiro128+,0.13,0.003516919
xoroshiro128+,0.10,0.002482290
xoroshiro128+,0.07,0.002404360
xoroshiro128+,0.07,0.002433090
xoroshiro128+,0.13,0.003532630
xoroshiro128+,0.10,0.002443800
xoroshiro128+,0.14,0.003511449
xoroshiro128+,0.10,0.003579820
xoroshiro128+,0.10,0.002353290
xoshiro256+,0.07,0.002310819
xoshiro256+,0.10,0.002287889
xoshiro256+,0.10,0.002344550
xoshiro256+,0.07,0.002304179
xoshiro256+,0.07,0.002345680
xoshiro256+,0.07,0.002327220
xoshiro256+,0.06,0.002430749
xoshiro256+,0.10,0.002328190
xoshiro256+,0.07,0.002360180
xoshiro256+,0.11,0.002318170
xoshiro256+,0.07,0.002415100
xoshiro256+,0.07,0.002400119
xoshiro256+,0.07,0.002448580
xoshiro256+,0.07,0.002369400
xoshiro256+,0.07,0.002303169
