engine;pkg;cpu;avg
knuth_b;0.41;0.009442809;0.30
knuth_b;0.35;0.009429454;0.31
knuth_b;0.38;0.009560540;0.31
knuth_b;0.35;0.009836075;0.31
knuth_b;0.35;0.009569987;0.30
knuth_b;0.39;0.009442238;0.31
knuth_b;0.35;0.009543628;0.30
knuth_b;0.38;0.009892791;0.32
knuth_b;0.39;0.009639698;0.30
knuth_b;0.46;0.009613319;0.33
knuth_b;0.41;0.009511627;0.31
knuth_b;0.38;0.010300013;0.32
knuth_b;0.35;0.009370174;0.30
knuth_b;0.39;0.009584584;0.29
knuth_b;0.35;0.009471854;0.30
knuth_b;0.39;0.009571861;0.31
knuth_b;0.40;0.009555069;0.31
knuth_b;0.35;0.009423583;0.31
knuth_b;0.39;0.009581819;0.29
knuth_b;0.47;0.009566911;0.32
knuth_b;0.36;0.009418784;0.28
knuth_b;0.35;0.009454061;0.31
knuth_b;0.35;0.009587069;0.30
knuth_b;0.39;0.009564006;0.32
knuth_b;0.39;0.009594002;0.30
knuth_b;0.39;0.009535753;0.30
knuth_b;0.35;0.009462787;0.33
knuth_b;0.35;0.009560500;0.30
knuth_b;0.38;0.010879037;0.35
knuth_b;0.38;0.009595074;0.31
knuth_b;0.35;0.009489917;0.32
knuth_b;0.35;0.009541043;0.32
knuth_b;0.35;0.009486861;0.31
knuth_b;0.36;0.009512780;0.30
knuth_b;0.40;0.009539690;0.31
knuth_b;0.35;0.009527748;0.31
knuth_b;0.41;0.009570298;0.30
knuth_b;0.38;0.009529512;0.34
knuth_b;0.37;0.009488424;0.29
knuth_b;0.35;0.009571300;0.29
knuth_b;0.39;0.009575948;0.31
knuth_b;0.36;0.009586488;0.33
knuth_b;0.40;0.009439422;0.31
knuth_b;0.35;0.009503933;0.30
knuth_b;0.40;0.009594794;0.30
knuth_b;0.36;0.009442819;0.29
knuth_b;0.40;0.009602147;0.30
knuth_b;0.41;0.009548327;0.35
knuth_b;0.40;0.009561581;0.29
knuth_b;0.35;0.009434092;0.29
knuth_b;0.34;0.009568865;0.29
knuth_b;0.35;0.009407213;0.31
knuth_b;0.40;0.009545772;0.31
knuth_b;0.36;0.009443280;0.28
knuth_b;0.35;0.009492512;0.30
knuth_b;0.34;0.009622185;0.30
knuth_b;0.35;0.009590996;0.30
knuth_b;0.36;0.009452297;0.34
knuth_b;0.38;0.009583703;0.32
knuth_b;0.41;0.009592449;0.31
knuth_b;0.40;0.009606655;0.33
knuth_b;0.38;0.009538137;0.31
knuth_b;0.40;0.009377648;0.31
knuth_b;0.40;0.009579055;0.31
knuth_b;0.39;0.009975917;0.32
knuth_b;0.40;0.009458409;0.29
knuth_b;0.35;0.009563224;0.31
knuth_b;0.41;0.009606456;0.33
knuth_b;0.46;0.010685565;0.35
knuth_b;0.36;0.009558075;0.32
knuth_b;0.39;0.009692386;0.30
knuth_b;0.36;0.009600724;0.32
knuth_b;0.40;0.009569095;0.30
knuth_b;0.35;0.009465762;0.31
knuth_b;0.36;0.009565638;0.31
knuth_b;0.35;0.009519232;0.31
knuth_b;0.35;0.009467135;0.30
knuth_b;0.35;0.009452828;0.31
knuth_b;0.42;0.009803394;0.29
knuth_b;0.44;0.010501179;0.32
knuth_b;0.35;0.009603029;0.32
knuth_b;0.40;0.009534962;0.33
knuth_b;0.40;0.009545582;0.30
knuth_b;0.43;0.010541375;0.32
knuth_b;0.40;0.009549328;0.32
knuth_b;0.40;0.009598290;0.32
knuth_b;0.39;0.009780201;0.29
knuth_b;0.39;0.009483064;0.37
knuth_b;0.37;0.009560860;0.30
knuth_b;0.40;0.009379481;0.32
knuth_b;0.35;0.009464209;0.30
knuth_b;0.40;0.009606946;0.30
knuth_b;0.35;0.009595545;0.32
knuth_b;0.35;0.009647092;0.29
knuth_b;0.39;0.009664794;0.33
knuth_b;0.35;0.009544619;0.30
knuth_b;0.35;0.009519362;0.31
knuth_b;0.39;0.009600624;0.34
knuth_b;0.38;0.009594684;0.31
knuth_b;0.40;0.009592159;0.30
minstd_rand0;0.20;0.004609475;0.16
minstd_rand0;0.20;0.004525899;0.17
minstd_rand0;0.20;0.004519978;0.17
minstd_rand0;0.20;0.004576323;0.18
minstd_rand0;0.20;0.004566495;0.17
minstd_rand0;0.22;0.004668757;0.18
minstd_rand0;0.21;0.004774935;0.15
minstd_rand0;0.20;0.004573959;0.17
minstd_rand0;0.21;0.004569260;0.18
minstd_rand0;0.20;0.004565062;0.19
minstd_rand0;0.20;0.004581352;0.17
minstd_rand0;0.21;0.004634172;0.17
minstd_rand0;0.21;0.004643909;0.17
minstd_rand0;0.20;0.004564370;0.17
minstd_rand0;0.23;0.004547319;0.19
minstd_rand0;0.20;0.004565513;0.18
minstd_rand0;0.21;0.004506743;0.18
minstd_rand0;0.20;0.004531189;0.18
minstd_rand0;0.21;0.004683504;0.19
minstd_rand0;0.19;0.004596791;0.17
minstd_rand0;0.20;0.004648107;0.16
minstd_rand0;0.22;0.004635824;0.19
minstd_rand0;0.22;0.004767160;0.21
minstd_rand0;0.21;0.004587153;0.20
minstd_rand0;0.20;0.004893938;0.19
minstd_rand0;0.20;0.004616398;0.17
minstd_rand0;0.20;0.004656733;0.16
minstd_rand0;0.21;0.004672563;0.18
minstd_rand0;0.19;0.004685858;0.16
minstd_rand0;0.21;0.004550715;0.17
minstd_rand0;0.20;0.004632849;0.17
minstd_rand0;0.23;0.005947419;0.22
minstd_rand0;0.20;0.004594558;0.19
minstd_rand0;0.21;0.004614946;0.17
minstd_rand0;0.24;0.005604467;0.21
minstd_rand0;0.20;0.004592113;0.17
minstd_rand0;0.21;0.004626317;0.17
minstd_rand0;0.20;0.004565713;0.17
minstd_rand0;0.21;0.004541748;0.17
minstd_rand0;0.22;0.004589047;0.18
minstd_rand0;0.24;0.004496674;0.17
minstd_rand0;0.21;0.004536137;0.17
minstd_rand0;0.21;0.004548621;0.17
minstd_rand0;0.17;0.004503196;0.16
minstd_rand0;0.21;0.004578006;0.17
minstd_rand0;0.20;0.004546648;0.17
minstd_rand0;0.21;0.004543191;0.17
minstd_rand0;0.24;0.005695096;0.19
minstd_rand0;0.21;0.004707659;0.16
minstd_rand0;0.20;0.004583496;0.19
minstd_rand0;0.20;0.004546648;0.19
minstd_rand0;0.20;0.004570131;0.19
minstd_rand0;0.23;0.004641375;0.19
minstd_rand0;0.20;0.004625886;0.17
minstd_rand0;0.20;0.004660361;0.16
minstd_rand0;0.19;0.004653387;0.17
minstd_rand0;0.20;0.004737494;0.18
minstd_rand0;0.22;0.004652786;0.18
minstd_rand0;0.20;0.004503657;0.17
minstd_rand0;0.21;0.004680298;0.18
minstd_rand0;0.24;0.004642367;0.19
minstd_rand0;0.23;0.004670179;0.19
minstd_rand0;0.20;0.004650923;0.16
minstd_rand0;0.21;0.004649610;0.17
minstd_rand0;0.20;0.004667854;0.17
minstd_rand0;0.32;0.007826274;0.27
minstd_rand0;0.20;0.004543873;0.17
minstd_rand0;0.21;0.004566455;0.18
minstd_rand0;0.20;0.004634442;0.17
minstd_rand0;0.20;0.004616548;0.19
minstd_rand0;0.24;0.005721435;0.22
minstd_rand0;0.22;0.004545966;0.21
minstd_rand0;0.22;0.005429209;0.20
minstd_rand0;0.20;0.004649319;0.18
minstd_rand0;0.20;0.004603875;0.16
minstd_rand0;0.19;0.004557227;0.16
minstd_rand0;0.19;0.004572666;0.17
minstd_rand0;0.22;0.004546607;0.17
minstd_rand0;0.20;0.004535998;0.17
minstd_rand0;0.22;0.005232260;0.20
minstd_rand0;0.21;0.004540947;0.17
minstd_rand0;0.22;0.004578988;0.18
minstd_rand0;0.21;0.004550565;0.17
minstd_rand0;0.19;0.004594246;0.18
minstd_rand0;0.19;0.004582916;0.18
minstd_rand0;0.20;0.004519406;0.17
minstd_rand0;0.21;0.004527732;0.17
minstd_rand0;0.21;0.004619013;0.17
minstd_rand0;0.21;0.004678305;0.19
minstd_rand0;0.20;0.004645703;0.17
minstd_rand0;0.20;0.004660029;0.17
minstd_rand0;0.24;0.004610658;0.22
minstd_rand0;0.25;0.005533835;0.19
minstd_rand0;0.20;0.004650011;0.17
minstd_rand0;0.21;0.004685567;0.20
minstd_rand0;0.21;0.004583867;0.17
minstd_rand0;0.21;0.004705304;0.18
minstd_rand0;0.20;0.004628320;0.16
minstd_rand0;0.20;0.004644621;0.17
minstd_rand0;0.22;0.004664918;0.20
minstd_rand;0.20;0.004652456;0.18
minstd_rand;0.21;0.004664789;0.17
minstd_rand;0.19;0.004580842;0.17
minstd_rand;0.23;0.005723950;0.22
minstd_rand;0.24;0.005697050;0.19
minstd_rand;0.20;0.004554953;0.16
minstd_rand;0.21;0.004548491;0.18
minstd_rand;0.23;0.004627198;0.20
minstd_rand;0.21;0.004640883;0.17
minstd_rand;0.20;0.004600869;0.17
minstd_rand;0.21;0.004637989;0.17
minstd_rand;0.21;0.004584398;0.18
minstd_rand;0.20;0.004548731;0.18
minstd_rand;0.21;0.004682712;0.18
minstd_rand;0.22;0.004582876;0.18
minstd_rand;0.21;0.004642156;0.17
minstd_rand;0.20;0.004670940;0.16
minstd_rand;0.21;0.004612230;0.19
minstd_rand;0.22;0.004489540;0.17
minstd_rand;0.20;0.004536689;0.17
minstd_rand;0.32;0.009237635;0.30
minstd_rand;0.20;0.004695947;0.19
minstd_rand;0.21;0.004574650;0.18
minstd_rand;0.21;0.004565543;0.17
minstd_rand;0.19;0.004639301;0.17
minstd_rand;0.24;0.005575473;0.23
minstd_rand;0.21;0.004533984;0.17
minstd_rand;0.21;0.004606831;0.17
minstd_rand;0.19;0.005367273;0.18
minstd_rand;0.21;0.004550095;0.19
minstd_rand;0.22;0.005535879;0.20
minstd_rand;0.27;0.005791477;0.23
minstd_rand;0.21;0.004895039;0.17
minstd_rand;0.20;0.004544553;0.17
minstd_rand;0.20;0.004587184;0.17
minstd_rand;0.20;0.004561625;0.17
minstd_rand;0.21;0.004687992;0.16
minstd_rand;0.21;0.004575882;0.17
minstd_rand;0.23;0.004619044;0.18
minstd_rand;0.24;0.005998495;0.23
minstd_rand;0.21;0.004567817;0.17
minstd_rand;0.21;0.004524967;0.17
minstd_rand;0.20;0.004545756;0.17
minstd_rand;0.20;0.004598063;0.18
minstd_rand;0.20;0.004611248;0.17
minstd_rand;0.21;0.005038067;0.20
minstd_rand;0.20;0.004527111;0.19
minstd_rand;0.19;0.004614504;0.18
minstd_rand;0.17;0.004618282;0.16
minstd_rand;0.20;0.004649089;0.18
minstd_rand;0.20;0.004563529;0.18
minstd_rand;0.23;0.005624465;0.21
minstd_rand;0.24;0.005673035;0.19
minstd_rand;0.21;0.004598976;0.17
minstd_rand;0.24;0.004559381;0.20
minstd_rand;0.21;0.004651664;0.18
minstd_rand;0.21;0.004546728;0.17
minstd_rand;0.21;0.004550144;0.18
minstd_rand;0.20;0.004563670;0.17
minstd_rand;0.20;0.004572536;0.17
minstd_rand;0.24;0.005623513;0.23
minstd_rand;0.24;0.004513415;0.20
minstd_rand;0.21;0.004603263;0.19
minstd_rand;0.22;0.004621969;0.18
minstd_rand;0.20;0.004618893;0.17
minstd_rand;0.21;0.004671692;0.19
minstd_rand;0.20;0.004526280;0.17
minstd_rand;0.21;0.004511692;0.17
minstd_rand;0.21;0.004550696;0.17
minstd_rand;0.21;0.004561826;0.20
minstd_rand;0.22;0.004593415;0.21
minstd_rand;0.20;0.004606209;0.18
minstd_rand;0.20;0.004622179;0.18
minstd_rand;0.20;0.004651183;0.16
minstd_rand;0.20;0.004670810;0.18
minstd_rand;0.20;0.004527742;0.17
minstd_rand;0.20;0.004783080;0.17
minstd_rand;0.19;0.004604756;0.17
minstd_rand;0.20;0.004569640;0.17
minstd_rand;0.20;0.004614785;0.18
minstd_rand;0.23;0.005449297;0.21
minstd_rand;0.20;0.004566766;0.18
minstd_rand;0.20;0.004610287;0.17
minstd_rand;0.20;0.004728417;0.16
minstd_rand;0.20;0.004662554;0.18
minstd_rand;0.20;0.004609676;0.17
minstd_rand;0.20;0.004663767;0.16
minstd_rand;0.21;0.004656112;0.17
minstd_rand;0.21;0.004605116;0.17
minstd_rand;0.20;0.004654760;0.16
minstd_rand;0.20;0.004649461;0.16
minstd_rand;0.22;0.004685908;0.20
minstd_rand;0.20;0.004594147;0.17
minstd_rand;0.20;0.004560283;0.17
minstd_rand;0.21;0.004586803;0.17
minstd_rand;0.20;0.004661282;0.16
minstd_rand;0.20;0.004540596;0.17
minstd_rand;0.21;0.004560534;0.17
minstd_rand;0.20;0.004564411;0.17
minstd_rand;0.22;0.004747633;0.19
mt19937;0.12;0.002790462;0.11
mt19937;0.13;0.002804097;0.12
mt19937;0.19;0.004759566;0.18
mt19937;0.13;0.002866734;0.10
mt19937;0.13;0.002796002;0.11
mt19937;0.12;0.002821740;0.10
mt19937;0.13;0.002792294;0.10
mt19937;0.13;0.002834904;0.12
mt19937;0.12;0.002895628;0.10
mt19937;0.14;0.002803206;0.13
mt19937;0.13;0.002835014;0.11
mt19937;0.13;0.002854461;0.11
mt19937;0.13;0.002868968;0.11
mt19937;0.12;0.002872074;0.11
mt19937;0.12;0.002803856;0.10
mt19937;0.13;0.002772037;0.10
mt19937;0.13;0.002843761;0.11
mt19937;0.13;0.002757119;0.12
mt19937;0.13;0.002853740;0.11
mt19937;0.13;0.002793918;0.11
mt19937;0.12;0.002798987;0.11
mt19937;0.13;0.002913972;0.12
mt19937;0.15;0.002801292;0.14
mt19937;0.12;0.002877424;0.11
mt19937;0.13;0.002857226;0.12
mt19937;0.12;0.002784170;0.10
mt19937;0.13;0.002917730;0.12
mt19937;0.13;0.002811120;0.10
mt19937;0.15;0.003356029;0.14
mt19937;0.13;0.002788377;0.11
mt19937;0.12;0.002909003;0.11
mt19937;0.12;0.002860643;0.10
mt19937;0.12;0.002787225;0.11
mt19937;0.12;0.002853089;0.10
mt19937;0.12;0.002881241;0.10
mt19937;0.16;0.004091877;0.15
mt19937;0.20;0.004161557;0.16
mt19937;0.12;0.002856345;0.11
mt19937;0.13;0.002986679;0.10
mt19937;0.12;0.002858779;0.10
mt19937;0.13;0.002893404;0.12
mt19937;0.16;0.003422033;0.14
mt19937;0.12;0.002828242;0.11
mt19937;0.13;0.002797625;0.11
mt19937;0.13;0.002846586;0.10
mt19937;0.12;0.002866584;0.10
mt19937;0.13;0.002809767;0.10
mt19937;0.13;0.002803276;0.11
mt19937;0.13;0.002916327;0.10
mt19937;0.12;0.002880089;0.10
mt19937;0.15;0.002770714;0.12
mt19937;0.14;0.002855503;0.12
mt19937;0.13;0.002825426;0.10
mt19937;0.13;0.002790933;0.11
mt19937;0.13;0.002752851;0.11
mt19937;0.12;0.002801022;0.10
mt19937;0.13;0.002785492;0.10
mt19937;0.20;0.004450918;0.19
mt19937;0.13;0.002815037;0.11
mt19937;0.12;0.002799909;0.11
mt19937;0.13;0.002856695;0.12
mt19937;0.16;0.003814027;0.14
mt19937;0.13;0.002843792;0.11
mt19937;0.12;0.002834835;0.11
mt19937;0.20;0.004255212;0.17
mt19937;0.13;0.002749815;0.11
mt19937;0.12;0.002816641;0.11
mt19937;0.15;0.004060297;0.14
mt19937;0.13;0.002846837;0.11
mt19937;0.14;0.002867545;0.11
mt19937;0.13;0.002855914;0.11
mt19937;0.13;0.002792275;0.10
mt19937;0.13;0.002784450;0.11
mt19937;0.13;0.002782396;0.11
mt19937;0.13;0.002939610;0.12
mt19937;0.13;0.002807954;0.12
mt19937;0.13;0.002780854;0.11
mt19937;0.13;0.002796492;0.11
mt19937;0.13;0.002864510;0.11
mt19937;0.17;0.004065828;0.14
mt19937;0.13;0.002884017;0.10
mt19937;0.13;0.002805570;0.10
mt19937;0.13;0.002769722;0.11
mt19937;0.12;0.002771716;0.11
mt19937;0.13;0.002893515;0.11
mt19937;0.12;0.002868858;0.11
mt19937;0.16;0.003757040;0.15
mt19937;0.13;0.002866994;0.11
mt19937;0.13;0.002793727;0.10
mt19937;0.12;0.002874929;0.11
mt19937;0.13;0.002874388;0.10
mt19937;0.13;0.002799468;0.10
mt19937;0.13;0.002849482;0.10
mt19937;0.13;0.002793016;0.12
mt19937;0.12;0.002788929;0.10
mt19937;0.13;0.002854091;0.11
mt19937;0.13;0.002891390;0.12
mt19937;0.13;0.002799267;0.10
mt19937;0.13;0.002887002;0.12
mt19937;0.13;0.002771856;0.10
mt19937_64;0.12;0.002801151;0.11
mt19937_64;0.12;0.002752871;0.11
mt19937_64;0.12;0.002851015;0.10
mt19937_64;0.13;0.002754605;0.11
mt19937_64;0.12;0.002776946;0.11
mt19937_64;0.13;0.002730158;0.12
mt19937_64;0.13;0.002820227;0.12
mt19937_64;0.13;0.002808175;0.11
mt19937_64;0.19;0.004597673;0.18
mt19937_64;0.13;0.002730499;0.11
mt19937_64;0.13;0.002812653;0.11
mt19937_64;0.12;0.002795731;0.10
mt19937_64;0.13;0.002794689;0.11
mt19937_64;0.13;0.002788558;0.11
mt19937_64;0.19;0.004551838;0.18
mt19937_64;0.12;0.002809447;0.10
mt19937_64;0.14;0.002704711;0.11
mt19937_64;0.12;0.002722724;0.11
mt19937_64;0.12;0.002795300;0.11
mt19937_64;0.13;0.002717505;0.10
mt19937_64;0.13;0.002766406;0.11
mt19937_64;0.14;0.002705993;0.13
mt19937_64;0.13;0.002822992;0.12
mt19937_64;0.16;0.004110852;0.15
mt19937_64;0.13;0.002705432;0.11
mt19937_64;0.13;0.002749725;0.12
mt19937_64;0.12;0.002800710;0.10
mt19937_64;0.12;0.002782497;0.11
mt19937_64;0.13;0.002728325;0.12
mt19937_64;0.14;0.002711103;0.12
mt19937_64;0.13;0.002706094;0.12
mt19937_64;0.13;0.002713528;0.12
mt19937_64;0.16;0.003525356;0.14
mt19937_64;0.13;0.002778429;0.11
mt19937_64;0.13;0.002699101;0.10
mt19937_64;0.13;0.002707176;0.11
mt19937_64;0.13;0.002732834;0.12
mt19937_64;0.12;0.002810168;0.10
mt19937_64;0.13;0.002734216;0.11
mt19937_64;0.13;0.002771847;0.12
mt19937_64;0.13;0.002826870;0.10
mt19937_64;0.12;0.002814617;0.11
mt19937_64;0.14;0.002832129;0.12
mt19937_64;0.13;0.002828323;0.11
mt19937_64;0.15;0.002723757;0.13
mt19937_64;0.14;0.002785673;0.11
mt19937_64;0.11;0.002896950;0.10
mt19937_64;0.13;0.002681848;0.12
mt19937_64;0.14;0.002802574;0.11
mt19937_64;0.13;0.002709530;0.12
mt19937_64;0.13;0.002735328;0.11
mt19937_64;0.12;0.002720290;0.11
mt19937_64;0.13;0.002790992;0.10
mt19937_64;0.12;0.002973053;0.10
mt19937_64;0.13;0.002874699;0.11
mt19937_64;0.13;0.002696706;0.11
mt19937_64;0.13;0.002787526;0.12
mt19937_64;0.13;0.002721372;0.12
mt19937_64;0.13;0.002698139;0.11
mt19937_64;0.13;0.002811191;0.10
mt19937_64;0.13;0.002686668;0.11
mt19937_64;0.14;0.002776215;0.12
mt19937_64;0.12;0.002704260;0.11
mt19937_64;0.12;0.002827250;0.11
mt19937_64;0.13;0.002757290;0.12
mt19937_64;0.14;0.002709179;0.11
mt19937_64;0.12;0.002886682;0.10
mt19937_64;0.13;0.002812553;0.11
mt19937_64;0.13;0.002779661;0.10
mt19937_64;0.12;0.002780132;0.11
mt19937_64;0.13;0.002809898;0.11
mt19937_64;0.13;0.002706665;0.12
mt19937_64;0.13;0.002728786;0.11
mt19937_64;0.13;0.002801192;0.11
mt19937_64;0.12;0.002868237;0.11
mt19937_64;0.14;0.002803766;0.13
mt19937_64;0.13;0.002690083;0.10
mt19937_64;0.13;0.002687208;0.11
mt19937_64;0.13;0.002711594;0.10
mt19937_64;0.13;0.002719508;0.10
mt19937_64;0.13;0.002749264;0.11
mt19937_64;0.13;0.002845434;0.12
mt19937_64;0.12;0.002751839;0.10
mt19937_64;0.13;0.002781915;0.11
mt19937_64;0.14;0.002783669;0.13
mt19937_64;0.13;0.002723266;0.12
mt19937_64;0.13;0.002788859;0.10
mt19937_64;0.13;0.002757369;0.11
mt19937_64;0.13;0.002728335;0.11
mt19937_64;0.13;0.002803596;0.11
mt19937_64;0.13;0.002780814;0.11
mt19937_64;0.12;0.002786153;0.10
mt19937_64;0.13;0.002716363;0.10
mt19937_64;0.14;0.002685635;0.12
mt19937_64;0.13;0.002745948;0.12
mt19937_64;0.12;0.002705863;0.11
mt19937_64;0.13;0.002720130;0.10
mt19937_64;0.13;0.002791454;0.12
mt19937_64;0.13;0.002716333;0.11
mt19937_64;0.13;0.002720921;0.12
mt11213b;0.12;0.002460554;0.11
mt11213b;0.13;0.002372349;0.11
mt11213b;0.12;0.002384121;0.10
mt11213b;0.14;0.002542287;0.13
mt11213b;0.14;0.002502803;0.13
mt11213b;0.13;0.002462558;0.12
mt11213b;0.13;0.002661460;0.11
mt11213b;0.13;0.002364975;0.11
mt11213b;0.13;0.002382939;0.12
mt11213b;0.13;0.002418396;0.11
mt11213b;0.13;0.002419116;0.12
mt11213b;0.13;0.002510728;0.11
mt11213b;0.13;0.002359455;0.11
mt11213b;0.13;0.002383911;0.11
mt11213b;0.13;0.002400913;0.11
mt11213b;0.14;0.002374263;0.11
mt11213b;0.12;0.002410521;0.10
mt11213b;0.15;0.002472125;0.13
mt11213b;0.13;0.002367981;0.11
mt11213b;0.12;0.002488096;0.11
mt11213b;0.12;0.002862296;0.10
mt11213b;0.12;0.002379752;0.11
mt11213b;0.12;0.002386195;0.11
mt11213b;0.14;0.002488636;0.12
mt11213b;0.12;0.002629931;0.11
mt11213b;0.12;0.002717484;0.10
mt11213b;0.13;0.002448231;0.11
mt11213b;0.13;0.002472437;0.11
mt11213b;0.13;0.002422924;0.11
mt11213b;0.13;0.002442380;0.10
mt11213b;0.13;0.002518562;0.11
mt11213b;0.13;0.002437661;0.11
mt11213b;0.13;0.002474440;0.11
mt11213b;0.13;0.002441859;0.11
mt11213b;0.13;0.002401614;0.11
mt11213b;0.16;0.003412175;0.15
mt11213b;0.12;0.002348425;0.10
mt11213b;0.12;0.002395011;0.11
mt11213b;0.17;0.003942177;0.16
mt11213b;0.13;0.002603021;0.12
mt11213b;0.13;0.002439554;0.11
mt11213b;0.13;0.002376988;0.10
mt11213b;0.13;0.002350488;0.10
mt11213b;0.12;0.002369484;0.11
mt11213b;0.12;0.002484919;0.11
mt11213b;0.13;0.002358824;0.10
mt11213b;0.13;0.002357642;0.11
mt11213b;0.13;0.002421842;0.11
mt11213b;0.16;0.003396956;0.14
mt11213b;0.16;0.003543350;0.14
mt11213b;0.14;0.002536005;0.12
mt11213b;0.13;0.002448953;0.10
mt11213b;0.13;0.002352011;0.11
mt11213b;0.13;0.002525926;0.11
mt11213b;0.13;0.002332184;0.11
mt11213b;0.13;0.002495510;0.12
mt11213b;0.13;0.002378240;0.11
mt11213b;0.12;0.002536056;0.11
mt11213b;0.16;0.003137521;0.13
mt11213b;0.13;0.002444755;0.12
mt11213b;0.14;0.002433143;0.11
mt11213b;0.14;0.002448842;0.13
mt11213b;0.13;0.002392126;0.12
mt11213b;0.12;0.002374654;0.10
mt11213b;0.13;0.002452138;0.12
