engine;pkg;cpu;avg
knuth_b;0.51;0.009724045;0.50
knuth_b;0.47;0.009749463;0.43
knuth_b;0.41;0.009752268;0.37
knuth_b;0.42;0.009656639;0.36
knuth_b;0.43;0.009659094;0.32
knuth_b;0.39;0.009704539;0.33
knuth_b;0.48;0.009791401;0.36
knuth_b;0.40;0.009900385;0.32
knuth_b;0.41;0.009902429;0.31
knuth_b;0.38;0.009611855;0.36
knuth_b;0.44;0.009789848;0.42
knuth_b;0.48;0.009704689;0.43
knuth_b;0.47;0.009830685;0.38
knuth_b;0.42;0.009789488;0.39
knuth_b;0.39;0.009742249;0.36
knuth_b;0.37;0.009710510;0.35
knuth_b;0.40;0.009783607;0.34
knuth_b;0.38;0.009676637;0.34
knuth_b;0.39;0.009584655;0.38
knuth_b;0.41;0.009962832;0.35
knuth_b;0.44;0.010403767;0.38
knuth_b;0.42;0.009902208;0.34
knuth_b;0.41;0.010280687;0.37
knuth_b;0.44;0.010005963;0.34
knuth_b;0.42;0.009800980;0.41
knuth_b;0.43;0.009996284;0.35
knuth_b;0.40;0.010002196;0.37
knuth_b;0.42;0.009735938;0.37
knuth_b;0.41;0.009967281;0.34
knuth_b;0.41;0.009960047;0.40
knuth_b;0.41;0.010095510;0.35
knuth_b;0.41;0.009988580;0.38
knuth_b;0.42;0.009903621;0.33
knuth_b;0.40;0.010077527;0.35
knuth_b;0.43;0.009989933;0.35
knuth_b;0.41;0.010387667;0.37
knuth_b;0.50;0.009974935;0.39
knuth_b;0.47;0.010907369;0.41
knuth_b;0.43;0.009970577;0.34
knuth_b;0.40;0.009756476;0.38
knuth_b;0.43;0.009932967;0.34
knuth_b;0.48;0.009948656;0.32
knuth_b;0.44;0.010500088;0.39
knuth_b;0.36;0.009983801;0.34
knuth_b;0.42;0.010047891;0.36
knuth_b;0.42;0.009936322;0.40
knuth_b;0.45;0.009941002;0.32
knuth_b;0.42;0.010017976;0.37
knuth_b;0.43;0.009628666;0.35
knuth_b;0.54;0.010168707;0.49
knuth_b;0.49;0.010632956;0.46
knuth_b;0.49;0.009800278;0.48
knuth_b;0.46;0.009829302;0.42
knuth_b;0.39;0.010002967;0.35
knuth_b;0.37;0.009790660;0.34
knuth_b;0.40;0.010027703;0.37
knuth_b;0.59;0.010527889;0.52
knuth_b;0.45;0.009897751;0.41
knuth_b;0.45;0.009911766;0.44
knuth_b;0.47;0.009752068;0.37
knuth_b;0.39;0.009828591;0.37
knuth_b;0.50;0.011034817;0.37
knuth_b;0.39;0.009690272;0.32
knuth_b;0.37;0.009703697;0.34
knuth_b;0.42;0.009753270;0.33
knuth_b;0.47;0.009914191;0.41
knuth_b;0.44;0.009857304;0.34
knuth_b;0.49;0.009724196;0.41
knuth_b;0.45;0.009767616;0.40
knuth_b;0.45;0.009850271;0.43
knuth_b;0.47;0.009638636;0.44
knuth_b;0.51;0.009850472;0.46
knuth_b;0.45;0.009714688;0.34
knuth_b;0.43;0.009776874;0.38
knuth_b;0.44;0.009911266;0.38
knuth_b;0.48;0.009826978;0.46
knuth_b;0.44;0.009901047;0.41
knuth_b;0.49;0.010492303;0.41
knuth_b;0.42;0.009854759;0.36
knuth_b;0.49;0.009785541;0.44
knuth_b;0.55;0.011289304;0.53
knuth_b;0.43;0.009927866;0.41
knuth_b;0.45;0.010178105;0.38
knuth_b;0.41;0.009907629;0.37
knuth_b;0.41;0.009711502;0.36
knuth_b;0.47;0.009708426;0.37
knuth_b;0.46;0.009769360;0.43
knuth_b;0.57;0.012800923;0.54
knuth_b;0.44;0.009875168;0.40
knuth_b;0.46;0.009997637;0.45
knuth_b;0.48;0.010825065;0.46
knuth_b;0.51;0.009952963;0.46
knuth_b;0.47;0.009711201;0.40
knuth_b;0.58;0.012599365;0.53
knuth_b;0.44;0.009985465;0.41
knuth_b;0.50;0.009998148;0.32
knuth_b;0.41;0.010229491;0.40
knuth_b;0.42;0.009738322;0.35
knuth_b;0.36;0.009783978;0.31
knuth_b;0.42;0.009795439;0.40
minstd_rand0;0.21;0.004784232;0.20
minstd_rand0;0.20;0.004822514;0.16
minstd_rand0;0.20;0.004762892;0.16
minstd_rand0;0.20;0.004680057;0.18
minstd_rand0;0.24;0.005603495;0.23
minstd_rand0;0.22;0.004811082;0.19
minstd_rand0;0.22;0.004968086;0.19
minstd_rand0;0.20;0.004664989;0.16
minstd_rand0;0.23;0.004856417;0.19
minstd_rand0;0.19;0.004830990;0.18
minstd_rand0;0.21;0.004791446;0.19
minstd_rand0;0.25;0.005422837;0.22
minstd_rand0;0.21;0.005001799;0.18
minstd_rand0;0.21;0.004765227;0.20
minstd_rand0;0.27;0.004781116;0.21
minstd_rand0;0.20;0.005192756;0.19
minstd_rand0;0.21;0.004678705;0.18
minstd_rand0;0.22;0.004821502;0.20
minstd_rand0;0.23;0.004651874;0.18
minstd_rand0;0.21;0.004687331;0.17
minstd_rand0;0.21;0.004752684;0.20
minstd_rand0;0.21;0.004864903;0.20
minstd_rand0;0.24;0.005473933;0.22
minstd_rand0;0.24;0.005324212;0.21
minstd_rand0;0.20;0.004797627;0.16
minstd_rand0;0.21;0.004683684;0.18
minstd_rand0;0.24;0.004745340;0.20
minstd_rand0;0.20;0.004780655;0.17
minstd_rand0;0.22;0.004785044;0.16
minstd_rand0;0.25;0.004673495;0.23
minstd_rand0;0.27;0.004848312;0.25
minstd_rand0;0.27;0.004963748;0.26
minstd_rand0;0.25;0.004794181;0.19
minstd_rand0;0.20;0.004819338;0.18
minstd_rand0;0.21;0.004777991;0.18
minstd_rand0;0.26;0.004961093;0.23
minstd_rand0;0.32;0.005056902;0.25
minstd_rand0;0.28;0.005184260;0.27
minstd_rand0;0.30;0.005251757;0.28
minstd_rand0;0.24;0.005046373;0.23
minstd_rand0;0.26;0.004825379;0.24
minstd_rand0;0.25;0.004923102;0.23
minstd_rand0;0.23;0.004814388;0.17
minstd_rand0;0.21;0.004751401;0.20
minstd_rand0;0.21;0.004650161;0.20
minstd_rand0;0.22;0.004778471;0.19
minstd_rand0;0.21;0.004789933;0.16
minstd_rand0;0.26;0.004742704;0.25
minstd_rand0;0.24;0.004700566;0.20
minstd_rand0;0.24;0.004695576;0.22
minstd_rand0;0.20;0.005135259;0.19
minstd_rand0;0.24;0.004838775;0.20
minstd_rand0;0.23;0.004766720;0.20
minstd_rand0;0.22;0.004728698;0.20
minstd_rand0;0.24;0.005704805;0.22
minstd_rand0;0.21;0.004667313;0.19
minstd_rand0;0.30;0.005884672;0.25
minstd_rand0;0.22;0.004782829;0.20
minstd_rand0;0.20;0.004819768;0.17
minstd_rand0;0.21;0.004655110;0.16
minstd_rand0;0.22;0.004682562;0.18
minstd_rand0;0.24;0.004686660;0.21
minstd_rand0;0.21;0.004776307;0.18
minstd_rand0;0.21;0.004815470;0.18
minstd_rand0;0.20;0.005067472;0.19
minstd_rand0;0.21;0.004812626;0.18
minstd_rand0;0.20;0.004669337;0.17
minstd_rand0;0.21;0.004773572;0.18
minstd_rand0;0.23;0.004707108;0.22
minstd_rand0;0.21;0.005297162;0.20
minstd_rand0;0.20;0.004739990;0.18
minstd_rand0;0.21;0.004665480;0.16
minstd_rand0;0.20;0.004955733;0.17
minstd_rand0;0.22;0.005005957;0.21
minstd_rand0;0.20;0.004817535;0.17
minstd_rand0;0.20;0.004814699;0.19
minstd_rand0;0.21;0.004889009;0.18
minstd_rand0;0.21;0.004847240;0.18
minstd_rand0;0.21;0.004808308;0.18
minstd_rand0;0.21;0.004734249;0.20
minstd_rand0;0.21;0.004677212;0.18
minstd_rand0;0.20;0.004684616;0.18
minstd_rand0;0.20;0.004795944;0.17
minstd_rand0;0.22;0.004714241;0.20
minstd_rand0;0.22;0.004681901;0.20
