engine,pkg,cpu
knuth_b,0.49,0.009602877
knuth_b,0.50,0.010015158
knuth_b,0.48,0.009684680
knuth_b,0.48,0.010036598
knuth_b,0.38,0.009819663
knuth_b,0.46,0.009854187
knuth_b,0.48,0.009923758
knuth_b,0.48,0.009948463
knuth_b,0.35,0.009655094
knuth_b,0.42,0.010477663
knuth_b,0.38,0.009970555
knuth_b,0.39,0.009794255
knuth_b,0.42,0.009790197
knuth_b,0.42,0.009797972
knuth_b,0.39,0.009748119
knuth_b,0.40,0.009675853
knuth_b,0.42,0.009899081
knuth_b,0.40,0.009669412
knuth_b,0.38,0.009840541
knuth_b,0.34,0.009598178
knuth_b,0.36,0.009740505
knuth_b,0.41,0.009894141
knuth_b,0.39,0.009872170
knuth_b,0.35,0.009736617
knuth_b,0.41,0.009884343
knuth_b,0.39,0.009973070
knuth_b,0.35,0.009826626
knuth_b,0.39,0.009708655
knuth_b,0.45,0.009887309
knuth_b,0.43,0.009606464
knuth_b,0.51,0.009813481
knuth_b,0.53,0.009701592
knuth_b,0.49,0.009849588
knuth_b,0.46,0.009710909
knuth_b,0.41,0.009805556
knuth_b,0.46,0.009817628
knuth_b,0.40,0.009858395
knuth_b,0.40,0.009787482
knuth_b,0.50,0.010972449
knuth_b,0.48,0.009940238
knuth_b,0.43,0.009711340
knuth_b,0.46,0.009768727
knuth_b,0.48,0.009822628
knuth_b,0.43,0.010690361
knuth_b,0.41,0.009768526
knuth_b,0.41,0.009842164
knuth_b,0.38,0.009948774
knuth_b,0.41,0.009703094
knuth_b,0.42,0.009807009
knuth_b,0.41,0.010155411
knuth_b,0.40,0.009851872
knuth_b,0.39,0.009656477
knuth_b,0.37,0.009779527
knuth_b,0.42,0.009711720
knuth_b,0.39,0.009696983
knuth_b,0.45,0.009645787
knuth_b,0.47,0.009808481
knuth_b,0.43,0.009823240
knuth_b,0.40,0.009556410
knuth_b,0.43,0.009834691
knuth_b,0.44,0.010503522
knuth_b,0.39,0.009685331
knuth_b,0.40,0.009695931
knuth_b,0.41,0.009958783
knuth_b,0.40,0.009915291
knuth_b,0.35,0.009580094
knuth_b,0.41,0.009730235
knuth_b,0.41,0.009795968
knuth_b,0.38,0.010156693
knuth_b,0.38,0.009816086
knuth_b,0.37,0.009663130
knuth_b,0.39,0.010182571
knuth_b,0.35,0.009577750
knuth_b,0.41,0.009846233
knuth_b,0.44,0.009774148
knuth_b,0.35,0.009834841
knuth_b,0.35,0.009788133
knuth_b,0.40,0.009794356
knuth_b,0.40,0.009939697
knuth_b,0.40,0.009712913
knuth_b,0.45,0.009861551
knuth_b,0.46,0.009877280
knuth_b,0.43,0.009857263
knuth_b,0.39,0.009861591
knuth_b,0.40,0.009932123
knuth_b,0.40,0.010131255
knuth_b,0.38,0.009695159
