engine,pkg,cpu
knuth_b,0.28,0.011060724
knuth_b,0.27,0.010975004
knuth_b,0.27,0.010956430
knuth_b,0.28,0.010863187
knuth_b,0.28,0.010928879
knuth_b,0.25,0.010890477
knuth_b,0.32,0.010873274
knuth_b,0.38,0.010914031
knuth_b,0.29,0.010983812
knuth_b,0.27,0.010918911
knuth_b,0.27,0.010971878
knuth_b,0.27,0.010918238
knuth_b,0.27,0.010846514
knuth_b,0.27,0.010938928
knuth_b,0.25,0.010931584
minstd_rand0,0.13,0.004932340
minstd_rand0,0.14,0.004915910
minstd_rand0,0.10,0.004923013
minstd_rand0,0.12,0.004915809
minstd_rand0,0.14,0.004933924
minstd_rand0,0.14,0.004940686
minstd_rand0,0.12,0.004965352
minstd_rand0,0.13,0.004929466
minstd_rand0,0.13,0.004942088
minstd_rand0,0.10,0.004922803
minstd_rand0,0.12,0.004961886
minstd_rand0,0.13,0.004904479
minstd_rand0,0.13,0.004932511
minstd_rand0,0.13,0.004958080
minstd_rand0,0.13,0.004945526
minstd_rand,0.13,0.004929726
minstd_rand,0.11,0.004946687
minstd_rand,0.13,0.004916921
minstd_rand,0.13,0.004952509
minstd_rand,0.14,0.004899950
minstd_rand,0.13,0.004976683
minstd_rand,0.16,0.004907113
minstd_rand,0.17,0.004962367
minstd_rand,0.11,0.004916742
minstd_rand,0.12,0.004993776
minstd_rand,0.14,0.004926610
minstd_rand,0.14,0.004955023
minstd_rand,0.12,0.004897285
minstd_rand,0.12,0.004953551
minstd_rand,0.13,0.004927011
mt19937,0.08,0.003718024
mt19937,0.09,0.003689811
mt19937,0.09,0.003753139
mt19937,0.09,0.003686574
mt19937,0.09,0.003721329
mt19937,0.09,0.003708365
mt19937,0.11,0.003754071
mt19937,0.11,0.003693868
mt19937,0.12,0.003719605
mt19937,0.12,0.003693998
mt19937,0.12,0.003733381
mt19937,0.13,0.003680303
mt19937,0.11,0.003722732
mt19937,0.12,0.003674422
mt19937,0.12,0.003744072
mt19937_64,0.13,0.003414606
mt19937_64,0.09,0.003417081
mt19937_64,0.09,0.003381705
mt19937_64,0.09,0.003449942
mt19937_64,0.09,0.003413364
mt19937_64,0.13,0.003449181
mt19937_64,0.12,0.003418885
mt19937_64,0.09,0.003424935
mt19937_64,0.09,0.003386164
mt19937_64,0.12,0.003428963
mt19937_64,0.09,0.003386564
mt19937_64,0.12,0.003441968
mt19937_64,0.12,0.003400691
mt19937_64,0.13,0.003421048
mt19937_64,0.09,0.003406802
mt11213b,0.10,0.002840645
mt11213b,0.09,0.002806561
mt11213b,0.08,0.002946774
mt11213b,0.09,0.002806681
mt11213b,0.09,0.002899815
mt11213b,0.09,0.002802323
mt11213b,0.09,0.002863528
mt11213b,0.09,0.002822180
mt11213b,0.09,0.002867806
mt11213b,0.09,0.002812362
mt11213b,0.08,0.002847117
mt11213b,0.09,0.002846696
mt11213b,0.09,0.002870821
mt11213b,0.10,0.002855502
mt11213b,0.09,0.002889546
rand,0.45,0.016585342
rand,0.45,0.016604848
rand,0.45,0.016712179
rand,0.45,0.016636457
rand,0.46,0.016592956
rand,0.45,0.016746412
rand,0.45,0.016756201
rand,0.45,0.016612803
rand,0.45,0.016690097
rand,0.56,0.016613715
rand,0.48,0.016692612
rand,0.46,0.016718310
rand,0.45,0.016718771
rand,0.41,0.016674117
rand,0.42,0.016557199
ranlux24_base,0.16,0.006384162
ranlux24_base,0.20,0.006263877
ranlux24_base,0.16,0.006341011
ranlux24_base,0.16,0.006409910
ranlux24_base,0.16,0.006314381
ranlux24_base,0.19,0.006293423
ranlux24_base,0.16,0.006301016
ranlux24_base,0.17,0.006330291
ranlux24_base,0.20,0.006285909
ranlux24_base,0.19,0.006278775
ranlux24_base,0.16,0.006268867
ranlux24_base,0.19,0.006346231
ranlux24_base,0.16,0.006318028
ranlux24_base,0.16,0.006282572
ranlux24_base,0.20,0.006404479
ranlux48_base,0.14,0.005086488
ranlux48_base,0.14,0.005051914
ranlux48_base,0.14,0.005104372
ranlux48_base,0.15,0.005051684
ranlux48_base,0.14,0.005066381
ranlux48_base,0.14,0.005034922
ranlux48_base,0.18,0.005150187
ranlux48_base,0.21,0.005124510
ranlux48_base,0.16,0.005023160
ranlux48_base,0.17,0.005155968
ranlux48_base,0.13,0.005029452
ranlux48_base,0.17,0.005089785
ranlux48_base,0.14,0.005015335
ranlux48_base,0.17,0.005129489
ranlux48_base,0.14,0.005022248
ranlux24,1.32,0.047796175
ranlux24,1.33,0.047885732
ranlux24,1.29,0.047668917
ranlux24,1.33,0.048156288
ranlux24,1.29,0.047705886
ranlux24,1.33,0.048170424
ranlux24,1.34,0.047921869
ranlux24,1.29,0.047656074
ranlux24,1.31,0.048161287
ranlux24,1.34,0.048312889
ranlux24,1.32,0.048274067
ranlux24,1.32,0.047912312
ranlux24,1.35,0.047678675
ranlux24,1.31,0.047871175
ranlux24,1.30,0.047657887
ranlux48,4.38,0.158294600
ranlux48,4.32,0.158345365
ranlux48,4.27,0.157927635
ranlux48,4.26,0.158015679
ranlux48,4.27,0.158139460
ranlux48,4.28,0.157918958
ranlux48,4.34,0.158169736
ranlux48,4.27,0.157891507
ranlux48,4.33,0.158171259
ranlux48,4.27,0.157945989
ranlux48,4.24,0.157634979
ranlux48,4.30,0.158059060
ranlux48,4.31,0.158167042
ranlux48,4.33,0.158078697
ranlux48,4.30,0.158042009
xoroshiro128+,0.08,0.002395273
xoroshiro128+,0.06,0.002338497
xoroshiro128+,0.06,0.002325993
xoroshiro128+,0.09,0.002293954
xoroshiro128+,0.08,0.002453542
xoroshiro128+,0.06,0.002298142
xoroshiro128+,0.06,0.002363013
xoroshiro128+,0.06,0.002296900
xoroshiro128+,0.06,0.002366620
xoroshiro128+,0.09,0.002333527
xoroshiro128+,0.06,0.002336653
xoroshiro128+,0.07,0.002293112
xoroshiro128+,0.11,0.002366650
xoroshiro128+,0.06,0.002281300
xoroshiro128+,0.06,0.002366419
