engine;pkg;cpu;sleep
minstd_rand0;1.60;0.336964330;1.33
minstd_rand0;1.62;0.336684574;1.39
minstd_rand0;1.63;0.337370843;1.31
minstd_rand0;1.64;0.336934534;1.26
minstd_rand0;1.65;0.336545623;1.28
minstd_rand0;1.67;0.336849043;1.31
minstd_rand0;1.59;0.337120814;1.31
minstd_rand0;1.64;0.336899948;1.31
minstd_rand0;1.64;0.336862027;1.34
minstd_rand0;1.69;0.337071511;1.27
minstd_rand0;1.65;0.336649238;1.31
minstd_rand0;1.64;0.336937099;1.33
minstd_rand0;1.64;0.336884821;1.32
minstd_rand0;1.64;0.336171290;1.27
minstd_rand0;1.63;0.336583735;1.28
minstd_rand0;1.66;0.336933432;1.28
minstd_rand0;1.64;0.336280846;1.37
minstd_rand0;1.63;0.336428053;1.32
minstd_rand0;1.67;0.336205144;1.30
minstd_rand0;1.66;0.337111557;1.27
minstd_rand0;1.65;0.336256049;1.27
minstd_rand0;1.65;0.336572734;1.35
minstd_rand0;1.66;0.336798499;1.30
minstd_rand0;1.65;0.336850937;1.33
minstd_rand0;1.66;0.336879320;1.27
minstd_rand0;1.66;0.336530825;1.28
minstd_rand0;1.63;0.336614703;1.33
minstd_rand0;1.65;0.336767511;1.36
minstd_rand0;1.64;0.337297676;1.33
minstd_rand0;1.65;0.337158385;1.29
minstd_rand0;1.65;0.336836079;1.28
minstd_rand0;1.65;0.337039621;1.28
minstd_rand0;1.63;0.336931509;1.35
minstd_rand0;1.64;0.336675116;1.33
minstd_rand0;1.62;0.336850035;1.30
minstd_rand0;1.65;0.336753173;1.29
minstd_rand0;1.65;0.336828254;1.28
minstd_rand0;1.59;0.336813135;1.32
minstd_rand0;1.58;0.336290314;1.31
minstd_rand0;1.62;0.337165177;1.32
minstd_rand0;1.62;0.337199150;1.27
minstd_rand0;1.66;0.336887005;1.28
minstd_rand0;1.63;0.336869282;1.33
minstd_rand0;1.62;0.336822423;1.30
minstd_rand0;1.65;0.336814578;1.41
minstd_rand0;1.66;0.336544983;1.27
minstd_rand0;1.64;0.336849855;1.26
minstd_rand0;1.62;0.336320661;1.27
minstd_rand0;1.65;0.336494037;1.35
minstd_rand0;1.65;0.336708980;1.39
minstd_rand0;1.62;0.336436509;1.33
minstd_rand0;1.65;0.336559831;1.49
minstd_rand0;1.65;0.336536446;1.32
minstd_rand0;1.63;0.337141443;1.30
minstd_rand0;1.64;0.336690736;1.31
minstd_rand0;1.64;0.336702107;1.31
minstd_rand0;1.65;0.336333355;1.26
minstd_rand0;1.64;0.336709611;1.32
minstd_rand0;1.66;0.336765907;1.37
minstd_rand0;1.60;0.336777980;1.30
minstd_rand0;1.62;0.336245089;1.31
minstd_rand0;1.64;0.336544411;1.34
minstd_rand0;1.65;0.336923152;1.27
minstd_rand0;1.61;0.336863680;1.28
minstd_rand0;1.65;0.336939473;1.30
minstd_rand;1.64;0.336558157;1.31
minstd_rand;1.62;0.336957427;1.28
minstd_rand;1.64;0.336412974;1.29
minstd_rand;1.64;0.336764053;1.29
minstd_rand;1.65;0.337003053;1.30
minstd_rand;1.63;0.336783991;1.37
minstd_rand;1.65;0.336880202;1.33
minstd_rand;1.64;0.336466194;1.26
minstd_rand;1.64;0.336148868;1.28
minstd_rand;1.64;0.336322634;1.31
minstd_rand;1.62;0.336764345;1.33
minstd_rand;1.63;0.336602119;1.29
minstd_rand;1.64;0.336300874;1.30
minstd_rand;1.65;0.336590267;1.27
minstd_rand;1.65;0.336564519;1.26
minstd_rand;1.66;0.336349304;1.29
minstd_rand;1.65;0.336386645;1.31
minstd_rand;1.65;0.336352771;1.33
minstd_rand;1.63;0.336785393;1.33
minstd_rand;1.64;0.336257983;1.30
minstd_rand;1.64;0.336405460;1.31
minstd_rand;1.63;0.336307697;1.36
minstd_rand;1.59;0.336726764;1.35
minstd_rand;1.64;0.337146152;1.27
minstd_rand;1.65;0.336677431;1.27
minstd_rand;1.66;0.336640552;1.35
minstd_rand;1.64;0.336668976;1.31
minstd_rand;1.65;0.336455735;1.34
minstd_rand;1.66;0.336595457;1.31
minstd_rand;1.65;0.336936197;1.27
minstd_rand;1.72;0.337196205;1.30
minstd_rand;1.65;0.336991241;1.64
minstd_rand;1.64;0.336940455;1.36
minstd_rand;1.65;0.336907644;1.31
minstd_rand;1.66;0.337090136;1.27
minstd_rand;1.62;0.336613581;1.26
minstd_rand;1.63;0.337352970;1.37
minstd_rand;1.64;0.336943781;1.31
minstd_rand;1.64;0.336835247;1.29
minstd_rand;1.60;0.336820109;1.28
minstd_rand;1.64;0.337102780;1.33
minstd_rand;1.64;0.337095015;1.32
minstd_rand;1.62;0.336391344;1.31
minstd_rand;1.62;0.336987553;1.31
minstd_rand;1.64;0.336888177;1.30
minstd_rand;1.65;0.336903035;1.27
minstd_rand;1.65;0.337129079;1.27
minstd_rand;1.66;0.336617278;1.29
minstd_rand;1.65;0.336499627;1.31
minstd_rand;1.61;0.336748524;1.36
minstd_rand;1.67;0.336388128;1.30
minstd_rand;1.60;0.336236082;1.37
minstd_rand;1.65;0.336299842;1.29
minstd_rand;1.64;0.336935235;1.31
minstd_rand;1.65;0.336564680;1.32
minstd_rand;1.65;0.336951075;1.27
minstd_rand;1.63;0.336471344;1.26
minstd_rand;1.65;0.336537859;1.31
minstd_rand;1.66;0.336295794;1.36
minstd_rand;1.63;0.336415960;1.32
minstd_rand;1.66;0.336320330;1.28
minstd_rand;1.64;0.336592051;1.26
minstd_rand;1.66;0.336383288;1.36
minstd_rand;1.64;0.336907864;1.35
minstd_rand;1.66;0.336413425;1.32
minstd_rand;1.63;0.336352130;1.35
minstd_rand;1.65;0.336855064;1.27
minstd_rand;1.65;0.336933933;1.31
minstd_rand;1.61;0.336460052;1.30
minstd_rand;1.62;0.337064998;1.31
minstd_rand;1.64;0.336682771;1.31
minstd_rand;1.75;0.336424927;1.46
minstd_rand;1.65;0.336718689;1.30
minstd_rand;1.64;0.336558447;1.30
minstd_rand;1.65;0.336348373;1.32
minstd_rand;1.66;0.336546505;1.27
minstd_rand;1.79;0.336895110;1.26
minstd_rand;1.67;0.336377418;1.36
minstd_rand;1.67;0.336934544;1.32
minstd_rand;1.63;0.336801183;1.34
minstd_rand;1.64;0.336565160;1.32
minstd_rand;1.67;0.336607680;1.27
minstd_rand;1.78;0.336981802;1.27
minstd_rand;1.64;0.336455044;1.30
minstd_rand;1.65;0.335874994;1.34
minstd_rand;1.62;0.336804209;1.33
minstd_rand;1.64;0.336300142;1.27
minstd_rand;1.66;0.336263904;1.27
minstd_rand;1.64;0.336405210;1.32
minstd_rand;1.62;0.336233898;1.32
minstd_rand;1.64;0.336321042;1.33
minstd_rand;1.65;0.336514245;1.29
minstd_rand;1.65;0.336327637;1.34
minstd_rand;1.64;0.336554036;1.27
minstd_rand;1.66;0.336598038;1.31
minstd_rand;1.61;0.336492160;1.30
minstd_rand;1.65;0.336431255;1.31
minstd_rand;1.62;0.336362356;1.28
minstd_rand;1.65;0.336298506;1.30
minstd_rand;1.64;0.337177577;1.32
mt19937;0.45;0.090949466;0.35
mt19937;0.44;0.090746344;0.35
mt19937;0.47;0.090838477;0.35
mt19937;0.41;0.090832416;0.35
mt19937;0.45;0.090752836;0.35
mt19937;0.47;0.091106590;0.35
mt19937;0.45;0.091369043;0.35
mt19937;0.46;0.091256141;0.38
mt19937;0.45;0.091046307;0.35
mt19937;0.45;0.090879414;0.38
mt19937;0.46;0.090725234;0.40
