engine;pkg;cpu;sleep
minstd_rand0;8.53;0.352286837;7.00
minstd_rand0;8.53;0.352062433;6.94
minstd_rand0;8.54;0.352098823;6.96
minstd_rand0;8.56;0.352064782;6.99
minstd_rand0;8.60;0.352170053;6.99
minstd_rand0;8.69;0.352181123;7.01
minstd_rand0;8.60;0.352231258;7.19
minstd_rand0;8.56;0.351985047;6.97
minstd_rand0;8.56;0.352176836;7.00
minstd_rand0;8.61;0.352208224;7.04
minstd_rand0;8.59;0.352242826;7.01
minstd_rand0;8.55;0.352194890;6.98
minstd_rand0;8.62;0.352111897;7.01
minstd_rand0;8.57;0.352135574;7.00
minstd_rand0;8.61;0.352096799;7.06
minstd_rand0;8.62;0.352128826;6.99
minstd_rand0;8.78;0.352146998;6.96
minstd_rand0;8.56;0.352348919;7.04
minstd_rand0;8.57;0.352131707;6.97
minstd_rand0;8.55;0.352326956;7.00
minstd_rand0;8.60;0.352197493;6.98
minstd_rand0;8.59;0.352192026;6.97
minstd_rand0;8.55;0.352030867;7.00
minstd_rand0;8.63;0.352104926;6.99
minstd_rand0;8.71;0.352173174;7.03
minstd_rand0;8.61;0.352083030;7.15
minstd_rand0;8.68;0.352441268;7.00
minstd_rand0;8.57;0.352233021;7.05
minstd_rand0;8.55;0.352096135;6.97
minstd_rand0;8.52;0.352286615;7.00
minstd_rand0;8.55;0.352118226;7.02
minstd_rand0;8.59;0.352329002;6.99
minstd_rand0;8.55;0.352143468;6.99
minstd_rand0;8.56;0.352216130;7.02
minstd_rand0;8.60;0.352132848;7.01
minstd_rand0;8.72;0.352268052;6.97
minstd_rand0;8.59;0.352177868;7.01
minstd_rand0;8.55;0.352226710;7.00
minstd_rand0;8.54;0.352211792;7.03
minstd_rand0;8.58;0.352088484;6.96
minstd_rand0;8.59;0.352080899;7.00
minstd_rand0;8.55;0.352135493;7.02
minstd_rand0;8.60;0.352214226;6.98
minstd_rand0;8.67;0.352116605;7.00
minstd_rand0;8.59;0.352244733;7.17
minstd_rand0;8.62;0.352188449;7.01
minstd_rand0;8.61;0.352214150;7.03
minstd_rand0;8.58;0.352097636;6.97
minstd_rand0;8.57;0.352103890;7.01
minstd_rand0;8.54;0.352279822;7.00
minstd_rand0;8.64;0.352276497;6.97
minstd_rand0;8.60;0.352128769;6.97
minstd_rand0;8.56;0.352086469;7.06
minstd_rand0;8.57;0.352127977;7.00
minstd_rand0;8.81;0.352139195;7.00
minstd_rand0;8.60;0.352242764;7.00
minstd_rand0;8.61;0.352197795;7.00
minstd_rand0;8.57;0.352106957;6.99
minstd_rand0;8.58;0.352089754;7.01
minstd_rand0;8.59;0.352106394;7.01
minstd_rand0;8.59;0.352057384;7.00
minstd_rand0;8.60;0.352203622;6.98
minstd_rand0;8.66;0.352176422;7.01
minstd_rand0;8.63;0.352412099;7.16
minstd_rand0;8.63;0.352216094;7.03
minstd_rand;8.59;0.352028850;6.98
minstd_rand;8.56;0.352061385;6.98
minstd_rand;8.58;0.352020436;6.98
minstd_rand;8.53;0.352112660;7.02
minstd_rand;8.63;0.352091690;7.00
minstd_rand;8.58;0.352026224;7.08
minstd_rand;8.58;0.352068724;7.03
minstd_rand;8.54;0.352035347;7.01
minstd_rand;8.76;0.352169524;7.02
minstd_rand;8.57;0.352176757;7.00
minstd_rand;8.63;0.352318102;6.99
minstd_rand;8.53;0.352093351;7.01
minstd_rand;8.59;0.352020060;7.00
minstd_rand;8.67;0.352101495;7.02
minstd_rand;8.54;0.352060013;6.99
minstd_rand;8.63;0.352105354;7.02
minstd_rand;8.68;0.352038540;6.99
minstd_rand;8.56;0.352281916;7.17
minstd_rand;8.58;0.352112344;7.01
minstd_rand;8.57;0.352151083;7.01
minstd_rand;8.59;0.352279195;6.98
minstd_rand;8.61;0.352099326;7.00
minstd_rand;8.56;0.352056160;7.02
minstd_rand;8.63;0.351959164;6.98
minstd_rand;8.62;0.352098773;7.01
minstd_rand;8.59;0.352146379;7.05
minstd_rand;8.57;0.352086337;7.08
minstd_rand;8.81;0.352129187;7.01
minstd_rand;8.55;0.352083202;7.01
minstd_rand;8.62;0.352091591;7.01
minstd_rand;8.58;0.352163992;7.02
minstd_rand;8.61;0.352155164;7.01
minstd_rand;8.55;0.352250384;6.99
minstd_rand;8.61;0.352130626;7.01
minstd_rand;8.60;0.352087970;7.02
minstd_rand;8.68;0.352165292;7.00
minstd_rand;8.55;0.351991366;7.13
minstd_rand;8.63;0.352077043;7.00
minstd_rand;8.62;0.352050720;7.00
minstd_rand;8.62;0.352104331;7.00
minstd_rand;8.60;0.352157832;7.02
minstd_rand;8.56;0.352041012;7.01
minstd_rand;8.59;0.352068694;7.03
minstd_rand;8.55;0.352054095;7.03
minstd_rand;8.54;0.352124199;7.01
minstd_rand;8.56;0.352020527;6.98
minstd_rand;8.82;0.351980023;7.01
minstd_rand;8.61;0.352179354;7.03
minstd_rand;8.63;0.352076625;7.01
minstd_rand;8.57;0.352119761;6.98
minstd_rand;8.59;0.352073944;6.99
minstd_rand;8.60;0.352103864;7.05
minstd_rand;8.55;0.352180245;7.02
minstd_rand;8.59;0.351901002;7.00
minstd_rand;8.61;0.352093104;6.99
minstd_rand;8.54;0.352096418;7.11
minstd_rand;8.54;0.351927673;6.98
minstd_rand;8.57;0.352197716;7.02
minstd_rand;8.61;0.352079363;7.00
minstd_rand;8.60;0.351964635;6.97
minstd_rand;8.50;0.352018811;7.00
minstd_rand;8.62;0.351986775;7.02
minstd_rand;8.59;0.352076030;6.97
minstd_rand;8.61;0.352117682;7.08
minstd_rand;8.58;0.352114109;6.99
minstd_rand;8.80;0.352178820;6.99
minstd_rand;8.63;0.352089528;7.05
minstd_rand;8.60;0.352003444;6.99
minstd_rand;8.54;0.352019943;6.99
minstd_rand;8.60;0.352125469;6.96
minstd_rand;8.62;0.352089473;6.98
minstd_rand;8.56;0.352044163;6.99
minstd_rand;8.63;0.351995776;6.99
minstd_rand;8.67;0.352116798;7.02
minstd_rand;8.57;0.352043743;7.07
minstd_rand;8.61;0.352047835;6.97
minstd_rand;8.62;0.352156947;7.00
minstd_rand;8.57;0.352123632;6.97
minstd_rand;8.59;0.352125770;7.01
minstd_rand;8.52;0.352177158;7.02
minstd_rand;8.54;0.352116647;6.98
minstd_rand;8.56;0.351889119;7.00
minstd_rand;8.53;0.352123570;7.00
minstd_rand;8.60;0.352186753;7.01
minstd_rand;8.71;0.352121101;7.00
minstd_rand;8.57;0.352194514;7.11
minstd_rand;8.55;0.352153927;7.03
minstd_rand;8.55;0.352273121;7.04
minstd_rand;8.57;0.352008730;6.99
minstd_rand;8.55;0.352074726;7.00
minstd_rand;8.58;0.352139035;6.98
minstd_rand;8.62;0.352172918;7.02
minstd_rand;8.56;0.352039080;6.98
minstd_rand;8.58;0.352108428;7.07
minstd_rand;8.61;0.352064105;6.99
minstd_rand;8.55;0.352029933;7.03
minstd_rand;8.58;0.352018967;6.98
minstd_rand;8.58;0.352236491;6.99
minstd_rand;8.57;0.351973598;6.99
minstd_rand;8.60;0.352129847;6.98
mt19937;6.72;0.230927041;4.60
mt19937;6.66;0.229788888;4.59
mt19937;6.65;0.229657199;4.55
mt19937;6.68;0.229737393;4.58
mt19937;6.67;0.229715158;4.70
mt19937;6.78;0.230225781;4.62
mt19937;6.61;0.229842576;4.58
mt19937;6.72;0.229667045;4.58
mt19937;6.67;0.229734377;4.60
mt19937;6.77;0.230107285;4.60
mt19937;6.89;0.229767499;4.57
mt19937;6.73;0.230945385;4.61
mt19937;6.71;0.230988053;4.59
mt19937;6.77;0.230274552;4.65
mt19937;6.69;0.231024585;4.59
mt19937;6.74;0.230962399;4.72
mt19937;6.82;0.230279602;4.63
mt19937;6.72;0.230949796;4.60
mt19937;6.72;0.230999151;4.59
mt19937;6.72;0.231042963;4.59
mt19937;6.67;0.229706926;4.59
mt19937;6.74;0.229792390;4.59
mt19937;6.72;0.229789069;4.57
mt19937;6.72;0.231047536;4.62
mt19937;6.59;0.229830079;4.59
mt19937;6.64;0.229882556;4.58
mt19937;6.67;0.229708375;4.61
mt19937;6.70;0.231003513;4.66
mt19937;6.73;0.230935399;4.63
mt19937;6.73;0.231050270;4.60
mt19937;6.76;0.230110390;4.59
mt19937;6.69;0.230917894;4.58
mt19937;6.81;0.230368942;4.59
mt19937;6.92;0.230966099;4.62
mt19937;6.72;0.229777439;4.57
mt19937;6.75;0.230934625;4.58
mt19937;6.75;0.231005006;4.59
mt19937;6.72;0.230901068;4.63
mt19937;6.72;0.231115257;4.74
mt19937;6.70;0.229771408;4.59
mt19937;6.78;0.230240675;4.60
mt19937;6.79;0.230208419;4.62
mt19937;6.79;0.230356689;4.58
mt19937;6.68;0.229691186;4.58
mt19937;6.81;0.229816244;4.59
mt19937;6.64;0.229838358;4.59
mt19937;6.63;0.229853859;4.59
mt19937;6.68;0.229730472;4.59
mt19937;6.57;0.229782159;4.59
mt19937;6.65;0.229815651;4.74
mt19937;6.59;0.229675163;4.59
mt19937;6.60;0.229867907;4.58
mt19937;6.64;0.229598400;4.58
mt19937;6.55;0.229771138;4.57
mt19937;6.77;0.230359040;4.60
mt19937;6.84;0.230412584;4.59
mt19937;6.71;0.229776562;4.58
mt19937;6.71;0.230925248;4.60
mt19937;6.67;0.229751584;4.56
mt19937;6.74;0.230994791;4.62
