engine;pkg;cpu;sleep
knuth_b;7.70;0.318893463;6.31
knuth_b;7.69;0.318953902;6.30
knuth_b;7.66;0.318967221;6.26
knuth_b;7.64;0.318854374;6.27
knuth_b;7.66;0.318929487;6.29
knuth_b;7.68;0.318741294;6.37
knuth_b;7.68;0.318792460;6.27
knuth_b;7.65;0.318852937;6.25
knuth_b;7.80;0.318836887;6.26
knuth_b;7.62;0.318850910;6.27
knuth_b;7.66;0.318754714;6.23
knuth_b;7.66;0.318787109;6.26
knuth_b;7.85;0.318717900;6.27
knuth_b;7.64;0.318737673;6.28
knuth_b;7.76;0.318985419;6.27
knuth_b;7.65;0.318937135;6.26
knuth_b;7.84;0.318715386;6.23
knuth_b;7.64;0.318702545;6.27
knuth_b;7.64;0.318954997;6.28
knuth_b;7.63;0.318820477;6.28
knuth_b;7.77;0.318731659;6.28
knuth_b;7.66;0.318880857;6.28
knuth_b;7.70;0.318980586;6.31
knuth_b;7.65;0.318924310;6.26
knuth_b;7.70;0.318898397;6.31
knuth_b;7.66;0.318854663;6.27
knuth_b;7.64;0.318820116;6.38
knuth_b;7.64;0.318716061;6.28
knuth_b;7.66;0.318808199;6.29
knuth_b;7.62;0.318724900;6.28
knuth_b;7.62;0.318724045;6.37
knuth_b;7.67;0.318726239;6.28
knuth_b;7.70;0.318768895;6.30
knuth_b;7.63;0.318736394;6.31
knuth_b;7.64;0.318827933;6.32
knuth_b;7.65;0.318717196;6.26
knuth_b;7.62;0.318888489;6.24
knuth_b;7.62;0.318765939;6.29
knuth_b;7.56;0.318947932;6.29
knuth_b;7.66;0.318728332;6.31
knuth_b;7.68;0.318689141;6.29
knuth_b;7.68;0.318782543;6.24
knuth_b;7.65;0.318806803;6.32
knuth_b;7.67;0.318972610;6.24
knuth_b;7.67;0.318877714;6.26
knuth_b;7.84;0.318757069;6.29
knuth_b;7.68;0.318801761;6.29
knuth_b;7.67;0.318745454;6.24
knuth_b;7.66;0.318865998;6.29
knuth_b;7.89;0.318865688;6.28
knuth_b;7.63;0.318784935;6.30
knuth_b;7.63;0.318833271;6.25
knuth_b;7.66;0.318745176;6.25
knuth_b;7.78;0.318665312;6.27
knuth_b;7.63;0.318923848;6.26
knuth_b;7.65;0.318831207;6.24
knuth_b;7.70;0.318790396;6.24
knuth_b;7.71;0.318855482;6.25
knuth_b;7.63;0.318722028;6.23
knuth_b;7.64;0.318753507;6.30
knuth_b;7.66;0.318811039;6.24
knuth_b;7.66;0.318712099;6.23
knuth_b;7.64;0.318989238;6.27
knuth_b;7.62;0.319038703;6.43
knuth_b;7.61;0.318863903;6.26
knuth_b;7.68;0.318707727;6.30
knuth_b;7.61;0.318915513;6.27
knuth_b;7.69;0.318908077;6.39
knuth_b;7.65;0.318742558;6.24
knuth_b;7.67;0.318887283;6.29
knuth_b;7.58;0.318946457;6.26
knuth_b;7.66;0.318774396;6.36
knuth_b;7.70;0.318880027;6.26
knuth_b;7.63;0.318936243;6.29
knuth_b;7.56;0.318936171;6.25
knuth_b;7.59;0.318973041;6.31
knuth_b;7.65;0.318742159;6.24
knuth_b;7.62;0.318852074;6.25
knuth_b;7.66;0.318775052;6.25
knuth_b;7.64;0.318995932;6.26
knuth_b;7.67;0.318923774;6.26
knuth_b;7.65;0.318819707;6.24
knuth_b;7.80;0.318918761;6.29
knuth_b;7.58;0.318926135;6.30
knuth_b;7.64;0.318784479;6.25
knuth_b;7.66;0.318697760;6.26
knuth_b;7.87;0.318775942;6.26
knuth_b;7.66;0.318876819;6.32
knuth_b;7.66;0.318872653;6.25
knuth_b;7.66;0.318856025;6.26
knuth_b;7.83;0.318871859;6.26
knuth_b;7.61;0.318955915;6.34
knuth_b;7.66;0.318849860;6.25
knuth_b;7.68;0.318722817;6.27
knuth_b;7.68;0.318872460;6.26
knuth_b;7.65;0.318772406;6.29
knuth_b;7.61;0.318898347;6.32
knuth_b;7.68;0.318747526;6.29
knuth_b;7.65;0.318847969;6.27
knuth_b;7.63;0.318761676;6.31
minstd_rand0;2.88;0.119141391;2.37
minstd_rand0;2.88;0.119093390;2.37
minstd_rand0;2.87;0.119155257;2.37
minstd_rand0;2.91;0.119142584;2.34
minstd_rand0;2.89;0.119152230;2.38
minstd_rand0;2.89;0.119272944;2.35
minstd_rand0;2.88;0.119196233;2.37
minstd_rand0;2.89;0.119018742;2.34
minstd_rand0;2.87;0.119259634;2.39
minstd_rand0;2.85;0.119148343;2.35
minstd_rand0;2.87;0.119240097;2.37
minstd_rand0;2.89;0.119165024;2.37
minstd_rand0;2.87;0.119200828;2.36
minstd_rand0;2.88;0.119167399;2.36
minstd_rand0;2.88;0.119215499;2.38
minstd_rand0;2.88;0.119220809;2.38
minstd_rand0;2.89;0.119177678;2.38
minstd_rand0;2.88;0.119150001;2.47
minstd_rand0;2.88;0.119267536;2.34
minstd_rand0;2.88;0.119222963;2.50
minstd_rand0;2.88;0.119248319;2.37
minstd_rand0;2.88;0.119201553;2.47
minstd_rand0;2.88;0.119167216;2.37
minstd_rand0;2.89;0.119204395;2.53
minstd_rand0;2.87;0.119207855;2.37
minstd_rand0;2.89;0.119156295;2.51
minstd_rand0;2.87;0.119123884;2.36
minstd_rand0;2.87;0.119118901;2.45
minstd_rand0;2.86;0.119233710;2.37
minstd_rand0;2.88;0.119206849;2.47
minstd_rand0;2.88;0.119238612;2.37
minstd_rand0;2.88;0.119176880;2.40
minstd_rand0;2.88;0.119198327;2.36
minstd_rand0;2.88;0.119209377;2.40
minstd_rand0;2.86;0.119203066;2.34
minstd_rand0;2.88;0.119233011;2.38
minstd_rand0;2.83;0.119139621;2.38
minstd_rand0;2.89;0.119209045;2.36
minstd_rand0;2.85;0.119206483;2.39
minstd_rand0;2.88;0.119217832;2.35
minstd_rand0;2.86;0.119205190;2.39
minstd_rand0;2.90;0.119317849;2.39
minstd_rand0;2.87;0.119225033;2.37
minstd_rand0;2.90;0.119194790;2.35
minstd_rand0;2.84;0.119191446;2.37
minstd_rand0;2.88;0.119154221;2.36
minstd_rand0;2.86;0.119142729;2.35
minstd_rand0;2.89;0.119208160;2.38
minstd_rand0;2.83;0.119202105;2.34
minstd_rand0;2.88;0.119212954;2.38
minstd_rand0;2.87;0.119108243;2.37
minstd_rand0;2.87;0.119205730;2.38
minstd_rand0;2.86;0.119216892;2.37
minstd_rand0;2.87;0.119196193;2.38
minstd_rand0;2.92;0.119149946;2.34
minstd_rand0;2.88;0.119168751;2.38
minstd_rand0;2.98;0.119159916;2.34
minstd_rand0;2.88;0.119166567;2.37
minstd_rand0;3.04;0.119208094;2.37
minstd_rand0;2.87;0.119172994;2.37
minstd_rand0;3.10;0.119124779;2.35
minstd_rand0;2.87;0.119153538;2.36
minstd_rand0;3.12;0.119089624;2.37
minstd_rand0;2.88;0.119227671;2.37
minstd_rand0;3.04;0.119221039;2.37
minstd_rand0;2.86;0.119243999;2.38
minstd_rand0;3.03;0.119228429;2.36
minstd_rand0;2.88;0.119249453;2.36
minstd_rand0;3.00;0.119243068;2.37
minstd_rand0;2.86;0.119168707;2.35
minstd_rand0;3.05;0.119216140;2.36
minstd_rand0;2.88;0.119117837;2.34
minstd_rand0;2.94;0.119230938;2.36
minstd_rand0;2.88;0.119142072;2.37
minstd_rand0;2.89;0.119163622;2.35
minstd_rand0;2.88;0.119247158;2.36
minstd_rand0;2.96;0.119159788;2.32
minstd_rand0;2.87;0.119189010;2.38
minstd_rand0;2.90;0.119169327;2.33
minstd_rand0;2.88;0.119097008;2.36
minstd_rand0;2.93;0.119210965;2.37
minstd_rand0;2.88;0.119204436;2.37
minstd_rand0;2.91;0.119121276;2.38
minstd_rand0;2.87;0.119214040;2.37
minstd_rand0;2.89;0.119178190;2.39
minstd_rand0;2.88;0.119203997;2.38
minstd_rand0;2.89;0.119211371;2.36
minstd_rand0;2.88;0.119174463;2.37
minstd_rand0;2.89;0.119190617;2.39
minstd_rand0;2.88;0.119158442;2.38
minstd_rand0;2.90;0.119206291;2.40
minstd_rand0;2.88;0.119256862;2.37
minstd_rand0;2.89;0.119141056;2.43
minstd_rand0;2.87;0.119173070;2.38
minstd_rand0;2.90;0.119236939;2.43
minstd_rand0;2.88;0.119108599;2.37
minstd_rand0;2.89;0.119166848;2.48
minstd_rand0;2.88;0.119242264;2.38
minstd_rand0;2.89;0.119176262;2.50
minstd_rand0;2.88;0.119147902;2.34
minstd_rand;2.87;0.119116811;2.50
minstd_rand;2.87;0.119194380;2.38
minstd_rand;2.90;0.119185958;2.47
minstd_rand;2.88;0.119189738;2.34
minstd_rand;2.89;0.119197094;2.50
minstd_rand;2.88;0.119121162;2.37
minstd_rand;2.89;0.119221284;2.44
minstd_rand;2.88;0.119250254;2.38
minstd_rand;2.89;0.119110513;2.41
minstd_rand;2.84;0.119185023;2.37
minstd_rand;2.88;0.119260773;2.39
minstd_rand;2.84;0.119189621;2.38
minstd_rand;2.87;0.119182574;2.37
minstd_rand;2.88;0.119186140;2.37
minstd_rand;2.89;0.119170946;2.36
minstd_rand;2.85;0.119208726;2.37
minstd_rand;2.87;0.119243314;2.38
minstd_rand;2.87;0.119235877;2.40
minstd_rand;2.89;0.119238252;2.38
minstd_rand;2.86;0.119186455;2.37
minstd_rand;2.89;0.119264040;2.37
minstd_rand;2.87;0.119165897;2.37
minstd_rand;2.88;0.119227497;2.40
minstd_rand;2.86;0.119195812;2.38
minstd_rand;2.89;0.119178804;2.38
minstd_rand;2.86;0.119262216;2.37
minstd_rand;2.87;0.119177066;2.37
minstd_rand;2.86;0.119257888;2.36
minstd_rand;2.88;0.119178911;2.37
minstd_rand;2.87;0.119287884;2.38
minstd_rand;2.88;0.119229575;2.35
minstd_rand;2.90;0.119164213;2.35
minstd_rand;2.88;0.119158960;2.34
minstd_rand;2.95;0.119094205;2.35
minstd_rand;2.89;0.119217172;2.37
minstd_rand;2.99;0.119161108;2.35
minstd_rand;2.87;0.119170886;2.37
minstd_rand;3.02;0.119128505;2.35
minstd_rand;2.87;0.119192656;2.36
minstd_rand;3.09;0.119146720;2.37
minstd_rand;2.86;0.119127325;2.37
minstd_rand;3.10;0.119143815;2.35
minstd_rand;2.87;0.119303954;2.37
minstd_rand;3.11;0.119180644;2.35
minstd_rand;2.88;0.119224095;2.37
minstd_rand;3.02;0.119234423;2.36
minstd_rand;2.87;0.119203435;2.35
minstd_rand;2.97;0.119167439;2.35
minstd_rand;2.89;0.119109618;2.38
minstd_rand;2.94;0.119196964;2.37
minstd_rand;2.90;0.119255944;2.38
minstd_rand;2.92;0.119195579;2.35
minstd_rand;2.87;0.119178708;2.37
minstd_rand;2.90;0.119197596;2.37
minstd_rand;2.88;0.119048857;2.38
minstd_rand;2.89;0.119149586;2.36
minstd_rand;2.90;0.119273407;2.37
minstd_rand;2.89;0.119221921;2.34
minstd_rand;2.88;0.119256385;2.37
minstd_rand;2.88;0.119150598;2.37
minstd_rand;2.87;0.119256816;2.37
minstd_rand;2.90;0.119052629;2.36
minstd_rand;2.87;0.119164596;2.39
minstd_rand;2.90;0.119214076;2.37
minstd_rand;2.86;0.119253365;2.37
minstd_rand;2.88;0.119190188;2.38
minstd_rand;2.87;0.119251175;2.37
minstd_rand;2.89;0.119190265;2.39
minstd_rand;2.87;0.119074752;2.37
minstd_rand;2.89;0.119177093;2.38
minstd_rand;2.86;0.119102051;2.37
minstd_rand;2.89;0.119186455;2.42
minstd_rand;2.88;0.119155737;2.38
minstd_rand;2.89;0.119225818;2.47
minstd_rand;2.87;0.119145793;2.36
minstd_rand;2.88;0.119163893;2.50
minstd_rand;2.87;0.119204218;2.38
minstd_rand;2.89;0.119251927;2.53
minstd_rand;2.88;0.119247134;2.39
minstd_rand;2.89;0.119226199;2.50
minstd_rand;2.85;0.119065658;2.38
minstd_rand;2.89;0.119208897;2.58
minstd_rand;2.89;0.119201353;2.35
minstd_rand;2.88;0.119177658;2.41
minstd_rand;2.88;0.119233576;2.35
minstd_rand;2.88;0.119256765;2.41
minstd_rand;2.85;0.119166952;2.38
minstd_rand;2.89;0.119210840;2.39
minstd_rand;2.86;0.119240596;2.38
minstd_rand;2.91;0.119226062;2.42
minstd_rand;2.87;0.119230786;2.37
minstd_rand;2.88;0.119347460;2.40
minstd_rand;2.87;0.119273377;2.38
minstd_rand;2.88;0.119235866;2.38
minstd_rand;2.87;0.119288004;2.37
minstd_rand;2.89;0.119201994;2.38
minstd_rand;2.87;0.119213184;2.34
minstd_rand;2.87;0.119162693;2.37
minstd_rand;2.86;0.119170725;2.38
minstd_rand;2.88;0.119235707;2.34
mt19937;2.24;0.078147744;1.56
mt19937;2.28;0.078321158;1.56
mt19937;2.24;0.078166494;1.64
mt19937;2.22;0.078243647;1.56
mt19937;2.23;0.078165287;1.54
mt19937;2.25;0.078148035;1.63
mt19937;2.31;0.078286457;1.56
mt19937;2.27;0.078253111;1.56
mt19937;2.24;0.078173140;1.73
mt19937;2.26;0.078192398;1.56
mt19937;2.26;0.078132797;1.57
mt19937;2.24;0.078227032;1.68
mt19937;2.23;0.078250730;1.53
mt19937;2.21;0.078162351;1.57
mt19937;2.22;0.078171093;1.60
mt19937;2.30;0.078203282;1.57
mt19937;2.23;0.078192147;1.58
mt19937;2.23;0.078175256;1.58
mt19937;2.27;0.078331445;1.57
mt19937;2.22;0.078190399;1.57
mt19937;2.28;0.078364619;1.57
mt19937;2.23;0.078202681;1.56
mt19937;2.24;0.078218646;1.57
mt19937;2.33;0.078280352;1.50
mt19937;2.22;0.078164014;1.57
mt19937;2.27;0.078188449;1.57
mt19937;2.30;0.078271415;1.55
mt19937;2.23;0.078228271;1.53
mt19937;2.26;0.078242180;1.57
mt19937;2.38;0.078177849;1.55
