engine;pkg;cpu;avg
knuth_b;0.47;0.009868395;0.50
knuth_b;0.60;0.011479546;0.54
knuth_b;0.41;0.009990754;0.32
knuth_b;0.40;0.010136617;0.38
knuth_b;0.39;0.009832859;0.40
knuth_b;0.41;0.009783836;0.38
knuth_b;0.43;0.009678220;0.35
knuth_b;0.40;0.009949476;0.34
knuth_b;0.40;0.009854749;0.33
knuth_b;0.36;0.009702845;0.34
knuth_b;0.39;0.010017564;0.38
knuth_b;0.40;0.009912267;0.37
knuth_b;0.42;0.009989421;0.61
knuth_b;0.42;0.009731188;0.55
knuth_b;0.53;0.010418824;0.56
knuth_b;0.56;0.010186239;0.51
knuth_b;0.49;0.009977018;0.52
knuth_b;0.59;0.010085190;0.55
knuth_b;0.44;0.009973771;0.45
knuth_b;0.53;0.010144741;0.49
knuth_b;0.44;0.010131677;0.37
knuth_b;0.46;0.010096591;0.64
knuth_b;0.47;0.009860711;0.45
knuth_b;0.47;0.010842887;0.43
knuth_b;0.45;0.010220092;0.49
knuth_b;0.48;0.009788646;0.42
knuth_b;0.47;0.009794717;0.43
knuth_b;0.45;0.009795037;0.52
knuth_b;0.47;0.009879536;0.39
knuth_b;0.46;0.009856252;0.46
knuth_b;0.46;0.010080671;0.42
knuth_b;0.46;0.010053460;0.39
knuth_b;0.45;0.009843068;0.43
knuth_b;0.42;0.009813923;0.42
knuth_b;0.43;0.010000682;0.35
knuth_b;0.43;0.009941702;0.40
knuth_b;0.41;0.010029196;0.38
knuth_b;0.44;0.009778226;0.40
knuth_b;0.42;0.009993448;0.36
knuth_b;0.41;0.009781002;0.35
knuth_b;0.41;0.009855180;0.50
knuth_b;0.48;0.010038593;0.39
knuth_b;0.41;0.009951881;0.38
knuth_b;0.41;0.009841535;0.38
knuth_b;0.40;0.009808853;0.33
knuth_b;0.45;0.011007154;0.40
knuth_b;0.40;0.010239519;0.35
knuth_b;0.40;0.009740225;0.36
knuth_b;0.41;0.009653263;0.36
knuth_b;0.41;0.009736008;0.38
knuth_b;0.37;0.009721440;0.37
knuth_b;0.40;0.010048000;0.38
knuth_b;0.41;0.010033213;0.40
knuth_b;0.41;0.009752168;0.37
knuth_b;0.41;0.009885065;0.39
knuth_b;0.42;0.010009489;0.36
knuth_b;0.42;0.010039745;0.38
knuth_b;0.41;0.009886569;0.33
knuth_b;0.45;0.010029025;0.37
knuth_b;0.43;0.009943685;0.38
knuth_b;0.40;0.009925932;0.37
knuth_b;0.41;0.009817109;0.36
knuth_b;0.37;0.009844801;0.33
knuth_b;0.51;0.010163637;0.38
knuth_b;0.45;0.011314968;0.44
knuth_b;0.44;0.009897479;0.39
knuth_b;0.43;0.009883954;0.37
knuth_b;0.42;0.009814674;0.35
knuth_b;0.40;0.009936582;0.35
knuth_b;0.41;0.010457175;0.35
knuth_b;0.42;0.009656929;0.35
knuth_b;0.45;0.010430806;0.41
knuth_b;0.42;0.009753850;0.37
knuth_b;0.42;0.009948755;0.38
knuth_b;0.44;0.010797201;0.36
knuth_b;0.40;0.009788526;0.32
knuth_b;0.42;0.010004208;0.44
knuth_b;0.45;0.010347290;0.39
knuth_b;0.41;0.009987357;0.36
knuth_b;0.41;0.009888823;0.35
knuth_b;0.41;0.009746186;0.35
knuth_b;0.42;0.009811869;0.38
knuth_b;0.38;0.009726269;0.40
knuth_b;0.41;0.010026991;0.42
knuth_b;0.41;0.009983921;0.32
knuth_b;0.41;0.009926965;0.37
knuth_b;0.40;0.009627384;0.33
knuth_b;0.41;0.009774700;0.38
knuth_b;0.37;0.009783806;0.41
knuth_b;0.46;0.009993749;0.37
knuth_b;0.36;0.009808853;0.32
knuth_b;0.43;0.009970195;0.32
knuth_b;0.37;0.009703337;0.33
knuth_b;0.40;0.010171361;0.36
knuth_b;0.42;0.009660917;0.39
knuth_b;0.41;0.009901486;0.36
knuth_b;0.37;0.009829181;0.33
knuth_b;0.41;0.009875888;0.32
knuth_b;0.40;0.009851473;0.37
knuth_b;0.42;0.009820425;0.33
knuth_b;0.41;0.009784788;0.41
knuth_b;0.47;0.010795408;0.38
knuth_b;0.37;0.009761305;0.35
knuth_b;0.42;0.009711933;0.38
knuth_b;0.42;0.009966358;0.38
knuth_b;0.41;0.009971828;0.39
knuth_b;0.41;0.009879266;0.36
knuth_b;0.41;0.009784297;0.32
knuth_b;0.46;0.009857735;0.32
knuth_b;0.41;0.009885777;0.38
knuth_b;0.37;0.009699619;0.40
knuth_b;0.42;0.010008847;0.42
knuth_b;0.41;0.009984252;0.35
knuth_b;0.46;0.009909241;0.33
knuth_b;0.41;0.009908169;0.36
knuth_b;0.42;0.010135845;0.38
knuth_b;0.36;0.009763960;0.38
knuth_b;0.47;0.010847826;0.39
knuth_b;0.42;0.009775481;0.33
knuth_b;0.41;0.009803093;0.37
knuth_b;0.41;0.009762416;0.35
knuth_b;0.42;0.009778086;0.33
minstd_rand0;0.22;0.004894428;0.22
minstd_rand0;0.21;0.004994455;0.21
minstd_rand0;0.21;0.004959890;0.23
minstd_rand0;0.20;0.004990969;0.22
minstd_rand0;0.24;0.004919164;0.24
minstd_rand0;0.22;0.004954821;0.22
minstd_rand0;0.16;0.004742995;0.22
minstd_rand0;0.21;0.004784061;0.17
minstd_rand0;0.21;0.004667885;0.22
minstd_rand0;0.21;0.004986941;0.22
minstd_rand0;0.21;0.004976793;0.17
minstd_rand0;0.17;0.004938140;0.23
minstd_rand0;0.21;0.004824768;0.30
minstd_rand0;0.22;0.004894879;0.22
minstd_rand0;0.23;0.004954250;0.23
minstd_rand0;0.23;0.004855115;0.24
minstd_rand0;0.23;0.004935164;0.25
minstd_rand0;0.20;0.004734078;0.18
minstd_rand0;0.20;0.004916539;0.23
minstd_rand0;0.21;0.004796134;0.23
minstd_rand0;0.25;0.004902703;0.20
minstd_rand0;0.22;0.004882967;0.20
minstd_rand0;0.22;0.004995877;0.21
minstd_rand0;0.21;0.004714562;0.18
minstd_rand0;0.20;0.004719441;0.17
minstd_rand0;0.24;0.005727415;0.25
minstd_rand0;0.21;0.004959750;0.17
minstd_rand0;0.20;0.004836721;0.24
minstd_rand0;0.21;0.004974358;0.28
minstd_rand0;0.22;0.004978545;0.22
minstd_rand0;0.21;0.004876304;0.22
minstd_rand0;0.20;0.004953729;0.22
minstd_rand0;0.22;0.004827493;0.23
minstd_rand0;0.22;0.004927449;0.24
minstd_rand0;0.31;0.006221829;0.26
minstd_rand0;0.18;0.004718820;0.24
minstd_rand0;0.20;0.004741883;0.26
minstd_rand0;0.23;0.005504388;0.26
minstd_rand0;0.23;0.004857639;0.18
minstd_rand0;0.20;0.004921047;0.21
minstd_rand0;0.21;0.005090845;0.23
minstd_rand0;0.21;0.004990668;0.22
minstd_rand0;0.21;0.004977924;0.22
minstd_rand0;0.23;0.004985969;0.18
minstd_rand0;0.22;0.004989226;0.21
minstd_rand0;0.21;0.004968306;0.18
minstd_rand0;0.20;0.004994395;0.22
minstd_rand0;0.21;0.004721815;0.22
minstd_rand0;0.21;0.004983795;0.22
minstd_rand0;0.23;0.004690287;0.19
minstd_rand0;0.20;0.004964419;0.21
minstd_rand0;0.20;0.004846639;0.19
minstd_rand0;0.22;0.005012750;0.25
minstd_rand0;0.24;0.004949251;0.23
minstd_rand0;0.21;0.005005225;0.23
minstd_rand0;0.23;0.004914816;0.23
minstd_rand0;0.25;0.005542058;0.23
minstd_rand0;0.24;0.004758765;0.19
minstd_rand0;0.21;0.004793119;0.17
minstd_rand0;0.25;0.005879570;0.25
minstd_rand0;0.23;0.005076629;0.21
minstd_rand0;0.22;0.004808447;0.18
minstd_rand0;0.20;0.004708641;0.24
minstd_rand0;0.21;0.005014473;0.21
minstd_rand0;0.21;0.004997991;0.25
minstd_rand0;0.21;0.005072902;0.22
minstd_rand0;0.21;0.005053575;0.22
minstd_rand0;0.22;0.004855415;0.22
minstd_rand0;0.21;0.004745270;0.24
minstd_rand0;0.24;0.004945594;0.18
minstd_rand0;0.17;0.004947167;0.22
minstd_rand0;0.22;0.004872056;0.22
minstd_rand0;0.22;0.004982733;0.23
minstd_rand0;0.20;0.005007199;0.19
minstd_rand0;0.20;0.004976191;0.18
minstd_rand0;0.21;0.004837742;0.19
minstd_rand0;0.22;0.005050170;0.24
minstd_rand0;0.22;0.004965821;0.32
minstd_rand0;0.20;0.004875553;0.20
minstd_rand0;0.21;0.004918984;0.25
minstd_rand0;0.28;0.005888216;0.25
