compiler;opt;std;program;length;work;run;energy;time
clang++;-O2;-std=c++17;bitset;512;g;00;11.21;0.315088628
clang++;-O2;-std=c++17;bitset;512;g;01;12.46;0.309072701
clang++;-O2;-std=c++17;bitset;512;g;02;12.84;0.308695295
clang++;-O2;-std=c++17;bitset;512;g;03;12.98;0.309302030
clang++;-O2;-std=c++17;bitset;512;g;04;13.53;0.319199924
clang++;-O2;-std=c++17;bitset;512;g;05;13.24;0.308162156
clang++;-O2;-std=c++17;bitset;512;g;06;13.21;0.312561159
clang++;-O2;-std=c++17;bitset;512;g;07;12.90;0.304721157
clang++;-O2;-std=c++17;bitset;512;g;08;12.89;0.309281741
clang++;-O2;-std=c++17;bitset;512;g;09;12.97;0.306774259
clang++;-O2;-std=c++17;bitset;512;g;10;12.84;0.309656643
clang++;-O2;-std=c++17;bitset;512;g;11;13.28;0.311367355
clang++;-O2;-std=c++17;bitset;512;g;12;13.16;0.310364047
clang++;-O2;-std=c++17;bitset;512;g;13;12.72;0.309539324
clang++;-O2;-std=c++17;bitset;512;g;14;12.26;0.303391820
clang++;-O2;-std=c++17;bitset;512;h;00;29.21;0.762167499
clang++;-O2;-std=c++17;bitset;512;h;01;25.83;0.762743147
clang++;-O2;-std=c++17;bitset;512;h;02;25.70;0.758890327
clang++;-O2;-std=c++17;bitset;512;h;03;25.84;0.762197165
clang++;-O2;-std=c++17;bitset;512;h;04;26.21;0.768854905
clang++;-O2;-std=c++17;bitset;512;h;05;26.17;0.764611273
clang++;-O2;-std=c++17;bitset;512;h;06;25.50;0.765422491
clang++;-O2;-std=c++17;bitset;512;h;07;25.68;0.767791865
clang++;-O2;-std=c++17;bitset;512;h;08;25.72;0.766958586
clang++;-O2;-std=c++17;bitset;512;h;09;25.39;0.762707982
clang++;-O2;-std=c++17;bitset;512;h;10;25.64;0.768007649
clang++;-O2;-std=c++17;bitset;512;h;11;25.65;0.768786456
clang++;-O2;-std=c++17;bitset;512;h;12;25.56;0.767474141
clang++;-O2;-std=c++17;bitset;512;h;13;27.89;0.770205292
clang++;-O2;-std=c++17;bitset;512;h;14;25.59;0.767469613
clang++;-O2;-std=c++17;bitset;512;i;00;5.89;0.184761660
clang++;-O2;-std=c++17;bitset;512;i;01;5.99;0.184617240
clang++;-O2;-std=c++17;bitset;512;i;02;6.01;0.184945194
clang++;-O2;-std=c++17;bitset;512;i;03;6.15;0.185132163
clang++;-O2;-std=c++17;bitset;512;i;04;6.03;0.184848813
clang++;-O2;-std=c++17;bitset;512;i;05;5.97;0.184885773
clang++;-O2;-std=c++17;bitset;512;i;06;5.88;0.184602592
clang++;-O2;-std=c++17;bitset;512;i;07;6.22;0.185293796
clang++;-O2;-std=c++17;bitset;512;i;08;6.32;0.186166570
clang++;-O2;-std=c++17;bitset;512;i;09;6.41;0.184000515
clang++;-O2;-std=c++17;bitset;512;i;10;6.32;0.186932453
clang++;-O2;-std=c++17;bitset;512;i;11;6.20;0.182943908
clang++;-O2;-std=c++17;bitset;512;i;12;6.09;0.181687687
clang++;-O2;-std=c++17;bitset;512;i;13;6.40;0.187264033
clang++;-O2;-std=c++17;bitset;512;i;14;6.23;0.192863282
clang++;-O2;-std=c++17;bitset;1024;g;00;17.33;0.518693904
clang++;-O2;-std=c++17;bitset;1024;g;01;20.37;0.512790887
clang++;-O2;-std=c++17;bitset;1024;g;02;20.04;0.520550398
clang++;-O2;-std=c++17;bitset;1024;g;03;21.35;0.521355415
clang++;-O2;-std=c++17;bitset;1024;g;04;20.02;0.520120614
clang++;-O2;-std=c++17;bitset;1024;g;05;20.48;0.519729502
clang++;-O2;-std=c++17;bitset;1024;g;06;20.49;0.526203728
clang++;-O2;-std=c++17;bitset;1024;g;07;21.01;0.529202691
clang++;-O2;-std=c++17;bitset;1024;g;08;19.83;0.509627256
clang++;-O2;-std=c++17;bitset;1024;g;09;21.17;0.520195404
clang++;-O2;-std=c++17;bitset;1024;g;10;19.80;0.521747810
clang++;-O2;-std=c++17;bitset;1024;g;11;21.73;0.523955861
clang++;-O2;-std=c++17;bitset;1024;g;12;20.26;0.509275227
clang++;-O2;-std=c++17;bitset;1024;g;13;20.68;0.519732758
clang++;-O2;-std=c++17;bitset;1024;g;14;20.72;0.519670832
clang++;-O2;-std=c++17;bitset;1024;h;00;59.02;1.660809333
clang++;-O2;-std=c++17;bitset;1024;h;01;55.64;1.662164820
clang++;-O2;-std=c++17;bitset;1024;h;02;55.35;1.651368224
clang++;-O2;-std=c++17;bitset;1024;h;03;56.45;1.662527208
clang++;-O2;-std=c++17;bitset;1024;h;04;55.58;1.640214201
clang++;-O2;-std=c++17;bitset;1024;h;05;55.83;1.651341605
clang++;-O2;-std=c++17;bitset;1024;h;06;55.07;1.637914627
clang++;-O2;-std=c++17;bitset;1024;h;07;54.86;1.640879966
clang++;-O2;-std=c++17;bitset;1024;h;08;54.33;1.627777696
