compiler;opt;std;program;length;work;run;energy;time
clang++;-O2;-std=c++17;bitset;512;g;00;86.54;0.827860773
clang++;-O2;-std=c++17;bitset;512;g;01;54.20;0.531104245
clang++;-O2;-std=c++17;bitset;512;g;02;56.98;0.563708895
clang++;-O2;-std=c++17;bitset;512;g;03;57.72;0.557206470
clang++;-O2;-std=c++17;bitset;512;g;04;56.25;0.558885722
clang++;-O2;-std=c++17;bitset;512;g;05;53.00;0.520300012
clang++;-O2;-std=c++17;bitset;512;g;06;53.24;0.524077419
clang++;-O2;-std=c++17;bitset;512;g;07;52.96;0.533036331
clang++;-O2;-std=c++17;bitset;512;g;08;53.52;0.526913475
clang++;-O2;-std=c++17;bitset;512;g;09;51.48;0.509985545
clang++;-O2;-std=c++17;bitset;512;g;10;53.03;0.527703955
clang++;-O2;-std=c++17;bitset;512;g;11;58.37;0.559364908
clang++;-O2;-std=c++17;bitset;512;g;12;52.94;0.514662815
clang++;-O2;-std=c++17;bitset;512;g;13;53.21;0.532234300
clang++;-O2;-std=c++17;bitset;512;g;14;53.03;0.525956945
clang++;-O2;-std=c++17;bitset;512;h;00;123.09;1.159771440
clang++;-O2;-std=c++17;bitset;512;h;01;123.71;1.187170291
clang++;-O2;-std=c++17;bitset;512;h;02;121.77;1.169093762
clang++;-O2;-std=c++17;bitset;512;h;03;120.27;1.136500183
clang++;-O2;-std=c++17;bitset;512;h;04;123.24;1.177969878
clang++;-O2;-std=c++17;bitset;512;h;05;123.29;1.202520729
clang++;-O2;-std=c++17;bitset;512;h;06;119.92;1.121547839
clang++;-O2;-std=c++17;bitset;512;h;07;124.27;1.170510371
clang++;-O2;-std=c++17;bitset;512;h;08;124.34;1.164123223
clang++;-O2;-std=c++17;bitset;512;h;09;122.62;1.149462725
clang++;-O2;-std=c++17;bitset;512;h;10;123.29;1.163200886
clang++;-O2;-std=c++17;bitset;512;h;11;123.59;1.174765423
clang++;-O2;-std=c++17;bitset;512;h;12;127.74;1.192189652
clang++;-O2;-std=c++17;bitset;512;h;13;124.66;1.160883081
clang++;-O2;-std=c++17;bitset;512;h;14;119.93;1.108300314
clang++;-O2;-std=c++17;bitset;512;i;00;23.93;0.225345015
clang++;-O2;-std=c++17;bitset;512;i;01;23.12;0.226385161
clang++;-O2;-std=c++17;bitset;512;i;02;15.13;0.197046432
clang++;-O2;-std=c++17;bitset;512;i;03;11.36;0.196083390
clang++;-O2;-std=c++17;bitset;512;i;04;9.30;0.194983322
clang++;-O2;-std=c++17;bitset;512;i;05;8.03;0.194540574
clang++;-O2;-std=c++17;bitset;512;i;06;7.90;0.193770863
clang++;-O2;-std=c++17;bitset;512;i;07;8.06;0.193451756
clang++;-O2;-std=c++17;bitset;512;i;08;7.67;0.192689560
clang++;-O2;-std=c++17;bitset;512;i;09;7.54;0.193269665
clang++;-O2;-std=c++17;bitset;512;i;10;7.68;0.192963432
clang++;-O2;-std=c++17;bitset;512;i;11;7.38;0.192996565
clang++;-O2;-std=c++17;bitset;512;i;12;7.39;0.192851834
clang++;-O2;-std=c++17;bitset;512;i;13;7.66;0.192925782
clang++;-O2;-std=c++17;bitset;512;i;14;7.79;0.193009799
clang++;-O2;-std=c++17;bitset;1024;g;00;23.41;0.585469276
clang++;-O2;-std=c++17;bitset;1024;g;01;24.10;0.576021250
clang++;-O2;-std=c++17;bitset;1024;g;02;23.42;0.568473840
clang++;-O2;-std=c++17;bitset;1024;g;03;22.97;0.560432926
clang++;-O2;-std=c++17;bitset;1024;g;04;25.34;0.563956879
clang++;-O2;-std=c++17;bitset;1024;g;05;37.52;0.582846871
clang++;-O2;-std=c++17;bitset;1024;g;06;36.07;0.584189401
clang++;-O2;-std=c++17;bitset;1024;g;07;33.24;0.580880542
clang++;-O2;-std=c++17;bitset;1024;g;08;35.58;0.573778394
clang++;-O2;-std=c++17;bitset;1024;g;09;36.20;0.577736710
clang++;-O2;-std=c++17;bitset;1024;g;10;48.38;0.661454316
clang++;-O2;-std=c++17;bitset;1024;g;11;67.72;0.700027492
clang++;-O2;-std=c++17;bitset;1024;g;12;66.74;0.695647427
clang++;-O2;-std=c++17;bitset;1024;g;13;61.71;0.652084948
clang++;-O2;-std=c++17;bitset;1024;g;14;68.18;0.708849767
clang++;-O2;-std=c++17;bitset;1024;h;00;208.95;2.157422632
clang++;-O2;-std=c++17;bitset;1024;h;01;173.82;2.050548954
clang++;-O2;-std=c++17;bitset;1024;h;02;216.54;2.239502545
clang++;-O2;-std=c++17;bitset;1024;h;03;184.42;2.184948039
clang++;-O2;-std=c++17;bitset;1024;h;04;278.59;2.550870378
clang++;-O2;-std=c++17;bitset;1024;h;05;273.58;2.595786722
clang++;-O2;-std=c++17;bitset;1024;h;06;273.19;2.593120045
clang++;-O2;-std=c++17;bitset;1024;h;07;278.88;2.573401209
clang++;-O2;-std=c++17;bitset;1024;h;08;275.29;2.567718350
clang++;-O2;-std=c++17;bitset;1024;h;09;275.44;2.575452874
clang++;-O2;-std=c++17;bitset;1024;h;10;158.80;2.141910921
clang++;-O2;-std=c++17;bitset;1024;h;11;75.24;1.872493336
clang++;-O2;-std=c++17;bitset;1024;h;12;90.42;1.876873126
clang++;-O2;-std=c++17;bitset;1024;h;13;82.09;1.881753782
clang++;-O2;-std=c++17;bitset;1024;h;14;74.80;1.868839373
clang++;-O2;-std=c++17;bitset;1024;i;00;14.56;0.381192884
clang++;-O2;-std=c++17;bitset;1024;i;01;14.76;0.381422884
clang++;-O2;-std=c++17;bitset;1024;i;02;14.98;0.382654878
clang++;-O2;-std=c++17;bitset;1024;i;03;14.61;0.380964558
clang++;-O2;-std=c++17;bitset;1024;i;04;14.59;0.381079051
clang++;-O2;-std=c++17;bitset;1024;i;05;14.32;0.381059816
clang++;-O2;-std=c++17;bitset;1024;i;06;14.54;0.380951003
clang++;-O2;-std=c++17;bitset;1024;i;07;14.29;0.381242397
clang++;-O2;-std=c++17;bitset;1024;i;08;14.35;0.381439245
clang++;-O2;-std=c++17;bitset;1024;i;09;14.29;0.381346402
clang++;-O2;-std=c++17;bitset;1024;i;10;14.79;0.381597682
clang++;-O2;-std=c++17;bitset;1024;i;11;15.05;0.382495941
clang++;-O2;-std=c++17;bitset;1024;i;12;14.92;0.383293483
